Step , TotalTime , T , P , Ux , Uy , Uz
101400 , 5.06468e-05 , 232.091 , 636.686 , 424.615 , 6.46948 , 0.228329
101420 , 5.06568e-05 , 232.093 , 636.675 , 424.598 , 6.46651 , 0.228127
101440 , 5.06668e-05 , 232.095 , 636.667 , 424.582 , 6.4631 , 0.227909
101460 , 5.06767e-05 , 232.097 , 636.662 , 424.566 , 6.45927 , 0.227674
101480 , 5.06867e-05 , 232.099 , 636.658 , 424.552 , 6.45507 , 0.227425
101500 , 5.06967e-05 , 232.102 , 636.656 , 424.537 , 6.45053 , 0.227163
101520 , 5.07066e-05 , 232.104 , 636.655 , 424.523 , 6.4457 , 0.22689
101540 , 5.07166e-05 , 232.107 , 636.656 , 424.51 , 6.44059 , 0.226606
101560 , 5.07266e-05 , 232.109 , 636.656 , 424.497 , 6.43527 , 0.226314
101580 , 5.07365e-05 , 232.112 , 636.659 , 424.485 , 6.4298 , 0.226017
101600 , 5.07465e-05 , 232.115 , 636.663 , 424.473 , 6.42417 , 0.225714
101620 , 5.07565e-05 , 232.118 , 636.667 , 424.461 , 6.41842 , 0.225406
101640 , 5.07664e-05 , 232.121 , 636.671 , 424.45 , 6.41259 , 0.225095
101660 , 5.07764e-05 , 232.124 , 636.675 , 424.44 , 6.40673 , 0.224784
101680 , 5.07864e-05 , 232.126 , 636.679 , 424.43 , 6.40089 , 0.224473
101700 , 5.07963e-05 , 232.13 , 636.684 , 424.421 , 6.39508 , 0.224164
101720 , 5.08063e-05 , 232.133 , 636.689 , 424.411 , 6.38932 , 0.223857
101740 , 5.08163e-05 , 232.136 , 636.695 , 424.402 , 6.38366 , 0.223555
101760 , 5.08262e-05 , 232.14 , 636.7 , 424.392 , 6.37811 , 0.223257
101780 , 5.08362e-05 , 232.143 , 636.705 , 424.383 , 6.37263 , 0.222962
101800 , 5.08462e-05 , 232.145 , 636.709 , 424.374 , 6.36718 , 0.222668
101820 , 5.08561e-05 , 232.148 , 636.712 , 424.365 , 6.36176 , 0.222376
101840 , 5.08661e-05 , 232.15 , 636.714 , 424.357 , 6.35642 , 0.222087
101860 , 5.08761e-05 , 232.153 , 636.717 , 424.348 , 6.35111 , 0.2218
101880 , 5.08861e-05 , 232.155 , 636.72 , 424.34 , 6.34583 , 0.221515
101900 , 5.0896e-05 , 232.158 , 636.724 , 424.331 , 6.34052 , 0.221228
101920 , 5.0906e-05 , 232.161 , 636.728 , 424.323 , 6.33518 , 0.220941
101940 , 5.0916e-05 , 232.163 , 636.729 , 424.316 , 6.32991 , 0.220657
101960 , 5.09259e-05 , 232.165 , 636.729 , 424.309 , 6.32473 , 0.220377
101980 , 5.09359e-05 , 232.167 , 636.73 , 424.301 , 6.31962 , 0.220099
102000 , 5.09459e-05 , 232.169 , 636.73 , 424.295 , 6.31458 , 0.219825
102020 , 5.09558e-05 , 232.171 , 636.731 , 424.288 , 6.30961 , 0.219554
102040 , 5.09658e-05 , 232.173 , 636.731 , 424.281 , 6.30466 , 0.219284
102060 , 5.09758e-05 , 232.175 , 636.731 , 424.275 , 6.29971 , 0.219014
102080 , 5.09857e-05 , 232.176 , 636.73 , 424.269 , 6.29476 , 0.218744
102100 , 5.09957e-05 , 232.179 , 636.728 , 424.263 , 6.28985 , 0.218476
102120 , 5.10057e-05 , 232.181 , 636.728 , 424.257 , 6.28494 , 0.218209
102140 , 5.10156e-05 , 232.183 , 636.726 , 424.251 , 6.28001 , 0.217941
102160 , 5.10256e-05 , 232.185 , 636.723 , 424.245 , 6.2751 , 0.217674
102180 , 5.10356e-05 , 232.186 , 636.72 , 424.239 , 6.27024 , 0.217409
102200 , 5.10455e-05 , 232.188 , 636.717 , 424.234 , 6.26543 , 0.217147
102220 , 5.10555e-05 , 232.19 , 636.713 , 424.229 , 6.26062 , 0.216885
102240 , 5.10655e-05 , 232.191 , 636.708 , 424.224 , 6.25581 , 0.216623
102260 , 5.10754e-05 , 232.193 , 636.704 , 424.22 , 6.25098 , 0.216361
102280 , 5.10854e-05 , 232.195 , 636.699 , 424.215 , 6.24614 , 0.216099
102300 , 5.10954e-05 , 232.196 , 636.694 , 424.21 , 6.24133 , 0.215837
102320 , 5.11054e-05 , 232.198 , 636.688 , 424.206 , 6.23653 , 0.215577
102340 , 5.11153e-05 , 232.199 , 636.683 , 424.202 , 6.23175 , 0.215318
102360 , 5.11253e-05 , 232.201 , 636.678 , 424.197 , 6.22698 , 0.215059
102380 , 5.11353e-05 , 232.202 , 636.672 , 424.193 , 6.2223 , 0.214804
102400 , 5.11452e-05 , 232.203 , 636.666 , 424.19 , 6.21769 , 0.214553
102420 , 5.11552e-05 , 232.204 , 636.66 , 424.186 , 6.21307 , 0.214301
102440 , 5.11652e-05 , 232.206 , 636.654 , 424.183 , 6.20845 , 0.214049
102460 , 5.11751e-05 , 232.207 , 636.647 , 424.18 , 6.20383 , 0.213798
102480 , 5.11851e-05 , 232.209 , 636.639 , 424.178 , 6.19926 , 0.213549
102500 , 5.11951e-05 , 232.21 , 636.632 , 424.175 , 6.19475 , 0.213302
102520 , 5.1205e-05 , 232.211 , 636.625 , 424.173 , 6.19031 , 0.213059
102540 , 5.1215e-05 , 232.213 , 636.617 , 424.17 , 6.18594 , 0.212818
102560 , 5.1225e-05 , 232.214 , 636.609 , 424.169 , 6.18166 , 0.212581
102580 , 5.12349e-05 , 232.215 , 636.601 , 424.167 , 6.17747 , 0.212348
102600 , 5.12449e-05 , 232.216 , 636.593 , 424.166 , 6.17341 , 0.21212
102620 , 5.12549e-05 , 232.218 , 636.585 , 424.164 , 6.16945 , 0.211897
102640 , 5.12648e-05 , 232.219 , 636.578 , 424.163 , 6.16557 , 0.211676
102660 , 5.12748e-05 , 232.22 , 636.571 , 424.161 , 6.16173 , 0.211458
102680 , 5.12848e-05 , 232.222 , 636.564 , 424.159 , 6.15792 , 0.211241
102700 , 5.12947e-05 , 232.223 , 636.556 , 424.158 , 6.15412 , 0.211025
102720 , 5.13047e-05 , 232.225 , 636.549 , 424.156 , 6.15029 , 0.210807
102740 , 5.13147e-05 , 232.226 , 636.541 , 424.155 , 6.14648 , 0.210591
102760 , 5.13246e-05 , 232.228 , 636.533 , 424.155 , 6.14277 , 0.210379
102780 , 5.13346e-05 , 232.229 , 636.525 , 424.154 , 6.13918 , 0.210171
102800 , 5.13446e-05 , 232.231 , 636.516 , 424.155 , 6.13572 , 0.209969
102820 , 5.13546e-05 , 232.232 , 636.507 , 424.155 , 6.13234 , 0.20977
102840 , 5.13645e-05 , 232.233 , 636.498 , 424.156 , 6.12903 , 0.209574
102860 , 5.13745e-05 , 232.234 , 636.489 , 424.157 , 6.12578 , 0.20938
102880 , 5.13845e-05 , 232.235 , 636.481 , 424.157 , 6.12255 , 0.209188
102900 , 5.13944e-05 , 232.237 , 636.475 , 424.157 , 6.11936 , 0.208997
102920 , 5.14044e-05 , 232.238 , 636.467 , 424.159 , 6.11623 , 0.208808
102940 , 5.14144e-05 , 232.24 , 636.46 , 424.16 , 6.11313 , 0.208622
102960 , 5.14243e-05 , 232.242 , 636.455 , 424.162 , 6.11007 , 0.208436
102980 , 5.14343e-05 , 232.244 , 636.448 , 424.165 , 6.107 , 0.20825
103000 , 5.14443e-05 , 232.245 , 636.442 , 424.167 , 6.10392 , 0.208064
103020 , 5.14542e-05 , 232.246 , 636.436 , 424.17 , 6.10087 , 0.20788
103040 , 5.14642e-05 , 232.248 , 636.43 , 424.173 , 6.09799 , 0.207702
103060 , 5.14742e-05 , 232.249 , 636.425 , 424.176 , 6.09525 , 0.20753
103080 , 5.14841e-05 , 232.251 , 636.422 , 424.179 , 6.09262 , 0.207362
103100 , 5.14941e-05 , 232.252 , 636.419 , 424.183 , 6.09002 , 0.207195
103120 , 5.15041e-05 , 232.254 , 636.417 , 424.187 , 6.08752 , 0.207032
103140 , 5.1514e-05 , 232.256 , 636.415 , 424.19 , 6.0851 , 0.206873
103160 , 5.1524e-05 , 232.258 , 636.417 , 424.194 , 6.08285 , 0.206721
103180 , 5.1534e-05 , 232.26 , 636.418 , 424.199 , 6.08068 , 0.206571
103200 , 5.15439e-05 , 232.262 , 636.418 , 424.204 , 6.07861 , 0.206426
103220 , 5.15539e-05 , 232.264 , 636.42 , 424.21 , 6.07657 , 0.206282
103240 , 5.15639e-05 , 232.267 , 636.423 , 424.215 , 6.07464 , 0.206142
103260 , 5.15739e-05 , 232.269 , 636.427 , 424.222 , 6.07286 , 0.206007
103280 , 5.15838e-05 , 232.272 , 636.432 , 424.228 , 6.07123 , 0.205879
103300 , 5.15938e-05 , 232.275 , 636.438 , 424.234 , 6.06967 , 0.205754
103320 , 5.16038e-05 , 232.278 , 636.445 , 424.241 , 6.06816 , 0.205631
103340 , 5.16137e-05 , 232.28 , 636.451 , 424.249 , 6.06673 , 0.20551
103360 , 5.16237e-05 , 232.283 , 636.459 , 424.257 , 6.06542 , 0.205395
103380 , 5.16337e-05 , 232.286 , 636.467 , 424.265 , 6.06423 , 0.205284
103400 , 5.16436e-05 , 232.289 , 636.476 , 424.273 , 6.06315 , 0.205178
103420 , 5.16536e-05 , 232.292 , 636.486 , 424.281 , 6.06217 , 0.205075
103440 , 5.16636e-05 , 232.295 , 636.496 , 424.289 , 6.06128 , 0.204976
103460 , 5.16735e-05 , 232.298 , 636.507 , 424.298 , 6.06054 , 0.204883
103480 , 5.16835e-05 , 232.301 , 636.52 , 424.307 , 6.05994 , 0.204796
103500 , 5.16935e-05 , 232.305 , 636.533 , 424.316 , 6.0595 , 0.204714
103520 , 5.17034e-05 , 232.308 , 636.548 , 424.326 , 6.05918 , 0.204637
103540 , 5.17134e-05 , 232.312 , 636.563 , 424.335 , 6.059 , 0.204566
103560 , 5.17234e-05 , 232.316 , 636.579 , 424.346 , 6.05895 , 0.2045
103580 , 5.17333e-05 , 232.32 , 636.598 , 424.356 , 6.05906 , 0.204439
103600 , 5.17433e-05 , 232.324 , 636.617 , 424.367 , 6.05927 , 0.204384
103620 , 5.17533e-05 , 232.328 , 636.636 , 424.377 , 6.05957 , 0.204331
103640 , 5.17632e-05 , 232.332 , 636.658 , 424.388 , 6.05995 , 0.204281
103660 , 5.17732e-05 , 232.337 , 636.68 , 424.4 , 6.06041 , 0.204234
103680 , 5.17832e-05 , 232.341 , 636.702 , 424.412 , 6.06089 , 0.204188
103700 , 5.17931e-05 , 232.346 , 636.726 , 424.425 , 6.06139 , 0.204143
103720 , 5.18031e-05 , 232.351 , 636.752 , 424.437 , 6.06189 , 0.204098
103740 , 5.18131e-05 , 232.356 , 636.78 , 424.45 , 6.06237 , 0.204052
103760 , 5.18231e-05 , 232.36 , 636.807 , 424.463 , 6.0628 , 0.204004
103780 , 5.1833e-05 , 232.366 , 636.837 , 424.477 , 6.06312 , 0.203951
103800 , 5.1843e-05 , 232.372 , 636.869 , 424.491 , 6.06332 , 0.203894
103820 , 5.1853e-05 , 232.378 , 636.9 , 424.505 , 6.06347 , 0.203834
103840 , 5.18629e-05 , 232.383 , 636.932 , 424.52 , 6.06354 , 0.203771
103860 , 5.18729e-05 , 232.389 , 636.967 , 424.535 , 6.0635 , 0.203704
103880 , 5.18829e-05 , 232.395 , 637.002 , 424.55 , 6.06334 , 0.203632
103900 , 5.18928e-05 , 232.401 , 637.038 , 424.566 , 6.06305 , 0.203555
