offset_mm,regime,choked,shock_x_mm,throat_x_mm,throat_area_mm2,mass_flow_kg_s,exit_mach,exit_pressure,critical_back_pressure,ideal_exit_pressure
0.0,choked_internal_shock,True,164.2100389933767,118.0,1628.6873823583012,11.282347210493539,0.1710852910156639,2900002.2750319117,5872614.68769383,94649.07172127844
-10.0,choked_internal_shock,True,210.22747482995987,118.0,2224.906016893325,15.412510998249003,0.2332776195258205,2899999.0252743424,5848652.968042671,148726.3202606522
-40.0,choked_internal_shock,True,446.39449274039464,118.0,3644.7668888272483,25.248261874243973,0.37962250946655407,2900002.230418219,5759745.715708234,311370.6434072866
-80.0,choked_internal_shock,True,563.007514107109,118.0,4677.392977506465,32.40153523860396,0.4839850846499246,2899998.0734316735,5664518.353878197,460199.60153698956
-100.0,choked_internal_shock,True,576.5742445500832,118.0,4824.910990174925,33.423431433512526,0.49872575760638027,2899999.9821831994,5648614.074351414,483702.01171460917
-120.0,choked_internal_shock,True,576.6845655945472,118.0,4826.140306947163,33.431947235136775,0.49884863464396845,2899998.644162916,5648478.99848554,483900.3261233013
