offset_mm,regime,choked,shock_x_mm,throat_x_mm,throat_area_mm2,mass_flow_kg_s,exit_mach,exit_pressure,critical_back_pressure,ideal_exit_pressure
0.0,choked_internal_shock,True,126.28700758220651,118.0,1628.6873823583012,11.282347210493539,0.09937355748198123,5000000.677256029,5872614.68769383,94649.07172127844
-5.0,choked_internal_shock,True,128.1973428766327,118.0,1934.479929452295,13.400652864522755,0.11799561008933768,4999999.196006463,5861279.655438895,121307.65390286299
-10.0,choked_internal_shock,True,130.1780652957821,118.0,2224.906016893325,15.412510998249003,0.13566487147150846,5000002.073364425,5848652.968042671,148726.3202606522
-20.0,choked_internal_shock,True,134.43415925700378,118.0,2759.6588128164913,19.116884704792565,0.16814781404680373,4999997.232886494,5820564.055236625,204427.0791009946
-40.0,choked_internal_shock,True,145.6037053379765,118.0,3644.7668888272483,25.248261874243973,0.22173223764208255,4999999.538755717,5759745.715708234,311370.6434072866
-60.0,choked_internal_shock,True,178.53040007134632,118.0,4284.011610390573,29.67647871884778,0.2602616176990844,4999999.0811533155,5704044.607953066,400327.6061246449
-80.0,choked_internal_shock,True,215.38498365865706,118.0,4677.392977506465,32.40153523860396,0.28388935333102494,4999999.838429188,5664518.353878197,460199.60153698956
-100.0,choked_internal_shock,True,228.43872124487308,118.0,4824.910990174925,33.423431433512526,0.292731998166081,5000003.5253558615,5648614.074351414,483702.01171460917
