Step , TotalTime , T , P , Ux , Uy , Uz
20 , 9.5e-09 , 51.2281 , 605.265 , 861.361 , -0.069682 , 0.679127
40 , 1.95e-08 , 51.1968 , 603.63 , 861.5 , 0.403111 , 0.63269
60 , 2.95e-08 , 51.1662 , 602.004 , 861.718 , 1.00866 , 0.654216
80 , 3.95e-08 , 51.1351 , 600.435 , 862.008 , 1.57806 , 0.592313
100 , 4.94999e-08 , 51.1044 , 599.055 , 862.308 , 1.77207 , 0.503249
120 , 5.94999e-08 , 51.0791 , 598.168 , 862.516 , 1.5387 , 0.440891
140 , 6.94999e-08 , 51.0652 , 597.93 , 862.562 , 0.911557 , 0.437585
160 , 7.95e-08 , 51.063 , 598.506 , 862.391 , 0.199571 , 0.411178
180 , 8.95e-08 , 51.0685 , 599.475 , 862.102 , -0.193248 , 0.311313
200 , 9.95e-08 , 51.08 , 600.538 , 861.738 , -0.302514 , 0.152524
220 , 1.095e-07 , 51.0983 , 601.538 , 861.331 , -0.270049 , 0.006504
240 , 1.195e-07 , 51.1195 , 602.422 , 860.926 , -0.153276 , -0.0741768
260 , 1.295e-07 , 51.1361 , 602.972 , 860.51 , 0.0480628 , -0.00970855
280 , 1.395e-07 , 51.1404 , 602.972 , 860.061 , 0.252766 , 0.2645
300 , 1.495e-07 , 51.1329 , 602.463 , 859.652 , 0.330991 , 0.62466
320 , 1.595e-07 , 51.1185 , 601.634 , 859.34 , 0.258202 , 0.88678
340 , 1.695e-07 , 51.1097 , 600.956 , 859.167 , 0.214107 , 0.971313
360 , 1.79499e-07 , 51.1139 , 600.888 , 859.15 , 0.306015 , 0.911058
380 , 1.89499e-07 , 51.1332 , 601.593 , 859.307 , 0.476123 , 0.772832
400 , 1.99499e-07 , 51.1613 , 603.018 , 859.631 , 0.574545 , 0.505426
420 , 2.09499e-07 , 51.1866 , 604.535 , 860.03 , 0.532299 , 0.0485408
440 , 2.19499e-07 , 51.2044 , 605.682 , 860.422 , 0.488995 , -0.426306
460 , 2.29499e-07 , 51.216 , 606.289 , 860.701 , 0.604832 , -0.64829
480 , 2.39499e-07 , 51.2273 , 606.523 , 860.844 , 0.777936 , -0.557889
500 , 2.49499e-07 , 51.2371 , 606.626 , 860.955 , 0.830606 , -0.142328
520 , 2.59499e-07 , 51.2351 , 606.391 , 860.997 , 0.65373 , 0.617833
540 , 2.69499e-07 , 51.2119 , 605.374 , 860.878 , 0.363802 , 1.46017
560 , 2.79498e-07 , 51.1853 , 603.633 , 860.69 , 0.276288 , 2.06252
580 , 2.89498e-07 , 51.183 , 602.655 , 860.801 , 0.519743 , 2.2668
600 , 2.99498e-07 , 51.189 , 602.807 , 861.269 , 0.89915 , 2.29803
620 , 3.09498e-07 , 51.1844 , 602.891 , 861.738 , 1.12701 , 2.31383
640 , 3.19498e-07 , 51.1757 , 603.032 , 862.017 , 0.959943 , 2.3693
660 , 3.29498e-07 , 51.175 , 603.457 , 862.055 , 0.452959 , 2.60275
680 , 3.39498e-07 , 51.1914 , 604.487 , 861.93 , -0.00725895 , 2.82499
700 , 3.49498e-07 , 51.224 , 606.123 , 861.766 , -0.276442 , 2.77774
720 , 3.59498e-07 , 51.2642 , 608.073 , 861.594 , -0.604067 , 2.44473
740 , 3.69497e-07 , 51.3057 , 610.061 , 861.425 , -0.950872 , 1.93465
760 , 3.79497e-07 , 51.3442 , 611.716 , 861.303 , -1.07397 , 1.28326
780 , 3.89497e-07 , 51.372 , 612.737 , 861.302 , -0.893988 , 0.385235
800 , 3.99497e-07 , 51.3847 , 613.212 , 861.37 , -0.510099 , -0.6521
820 , 4.09497e-07 , 51.3847 , 613.263 , 861.469 , -0.191803 , -1.51677
840 , 4.19497e-07 , 51.3795 , 613.206 , 861.544 , -0.102457 , -1.94381
860 , 4.29497e-07 , 51.3788 , 613.256 , 861.548 , -0.186767 , -2.0936
880 , 4.39497e-07 , 51.386 , 613.483 , 861.534 , -0.235649 , -2.15769
900 , 4.49497e-07 , 51.3976 , 613.869 , 861.574 , -0.198866 , -2.10569
920 , 4.59497e-07 , 51.4035 , 614.062 , 861.732 , -0.163666 , -1.91083
940 , 4.69496e-07 , 51.399 , 613.905 , 862.037 , -0.284974 , -1.52628
960 , 4.79496e-07 , 51.3823 , 613.298 , 862.426 , -0.531714 , -0.994702
980 , 4.89496e-07 , 51.3566 , 612.334 , 862.807 , -0.674075 , -0.499358
1000 , 4.99496e-07 , 51.3274 , 611.139 , 863.053 , -0.598943 , -0.0420468
1020 , 5.09496e-07 , 51.3013 , 610.017 , 863.106 , -0.524007 , 0.281136
1040 , 5.19496e-07 , 51.282 , 609.112 , 862.978 , -0.686222 , 0.440253
1060 , 5.29496e-07 , 51.2689 , 608.288 , 862.733 , -0.956911 , 0.551609
1080 , 5.39496e-07 , 51.2601 , 607.478 , 862.486 , -0.995449 , 0.698839
1100 , 5.49496e-07 , 51.2514 , 606.63 , 862.325 , -0.704431 , 0.804609
1120 , 5.59496e-07 , 51.238 , 605.691 , 862.306 , -0.272269 , 0.76546
1140 , 5.69495e-07 , 51.2147 , 604.597 , 862.447 , 0.10245 , 0.617995
1160 , 5.79495e-07 , 51.1791 , 603.278 , 862.68 , 0.480663 , 0.43587
1180 , 5.89495e-07 , 51.1338 , 601.69 , 862.904 , 0.987629 , 0.129967
1200 , 5.99495e-07 , 51.0886 , 600.054 , 863.098 , 1.55868 , -0.38483
1220 , 6.09495e-07 , 51.0509 , 598.686 , 863.275 , 1.96246 , -0.93565
1240 , 6.19495e-07 , 51.0221 , 597.613 , 863.443 , 1.9301 , -1.10083
1260 , 6.29495e-07 , 51.0004 , 596.827 , 863.556 , 1.62714 , -1.10774
1280 , 6.39495e-07 , 50.9793 , 596.319 , 863.54 , 1.22169 , -1.086
1300 , 6.49495e-07 , 50.9542 , 595.636 , 863.343 , 0.925164 , -1.07736
1320 , 6.59494e-07 , 50.9264 , 594.845 , 863.067 , 0.874764 , -1.11752
1340 , 6.69494e-07 , 50.9065 , 594.186 , 862.762 , 0.935023 , -1.13163
1360 , 6.79494e-07 , 50.9035 , 594.063 , 862.485 , 0.994878 , -1.11288
1380 , 6.89494e-07 , 50.9206 , 594.689 , 862.286 , 1.08592 , -1.04928
1400 , 6.99494e-07 , 50.9522 , 595.898 , 862.167 , 1.24998 , -0.96184
1420 , 7.09494e-07 , 50.988 , 597.252 , 862.11 , 1.38335 , -1.00243
1440 , 7.19494e-07 , 51.0221 , 598.413 , 862.064 , 1.23369 , -1.28466
1460 , 7.29494e-07 , 51.0538 , 599.408 , 861.986 , 0.692998 , -1.59671
1480 , 7.39494e-07 , 51.0792 , 600.322 , 861.861 , 0.0573246 , -1.57755
