Step , TotalTime , T , P , Ux , Uy , Uz
20 , 9.5e-09 , 224.154 , 1442.36 , 524.692 , 37.0239 , 0.589162
40 , 1.95e-08 , 224.189 , 1442.13 , 524.773 , 37.1472 , 0.574931
60 , 2.95e-08 , 224.231 , 1441.83 , 524.832 , 37.2903 , 0.570047
80 , 3.95e-08 , 224.285 , 1441.52 , 524.872 , 37.4423 , 0.574995
100 , 4.94999e-08 , 224.356 , 1441.25 , 524.902 , 37.5937 , 0.589976
120 , 5.94999e-08 , 224.444 , 1441.07 , 524.928 , 37.7385 , 0.614962
140 , 6.94999e-08 , 224.547 , 1440.96 , 524.947 , 37.8778 , 0.649827
160 , 7.95e-08 , 224.658 , 1440.82 , 524.948 , 38.02 , 0.694373
180 , 8.95e-08 , 224.772 , 1440.51 , 524.913 , 38.1759 , 0.748171
200 , 9.95e-08 , 224.887 , 1439.97 , 524.833 , 38.3494 , 0.810267
220 , 1.095e-07 , 225.006 , 1439.21 , 524.712 , 38.5334 , 0.879051
240 , 1.195e-07 , 225.133 , 1438.34 , 524.564 , 38.7123 , 0.952445
260 , 1.295e-07 , 225.268 , 1437.44 , 524.405 , 38.8703 , 1.02826
280 , 1.395e-07 , 225.411 , 1436.59 , 524.246 , 38.9979 , 1.10451
300 , 1.495e-07 , 225.558 , 1435.8 , 524.093 , 39.0928 , 1.17951
320 , 1.595e-07 , 225.705 , 1435.07 , 523.952 , 39.157 , 1.25183
340 , 1.695e-07 , 225.851 , 1434.42 , 523.83 , 39.1929 , 1.32023
360 , 1.79499e-07 , 225.995 , 1433.93 , 523.738 , 39.1997 , 1.38359
380 , 1.89499e-07 , 226.139 , 1433.73 , 523.694 , 39.1735 , 1.44088
400 , 1.99499e-07 , 226.284 , 1433.97 , 523.72 , 39.1082 , 1.49117
420 , 2.09499e-07 , 226.43 , 1434.77 , 523.834 , 38.9986 , 1.53361
440 , 2.19499e-07 , 226.572 , 1436.18 , 524.047 , 38.8452 , 1.56751
460 , 2.29499e-07 , 226.701 , 1438.09 , 524.351 , 38.6589 , 1.59242
480 , 2.39499e-07 , 226.805 , 1440.24 , 524.719 , 38.4612 , 1.6082
500 , 2.49499e-07 , 226.873 , 1442.32 , 525.117 , 38.2782 , 1.61489
520 , 2.59499e-07 , 226.902 , 1444.08 , 525.513 , 38.1318 , 1.6126
540 , 2.69499e-07 , 226.893 , 1445.41 , 525.886 , 38.0344 , 1.60153
560 , 2.79498e-07 , 226.851 , 1446.29 , 526.221 , 37.9888 , 1.58213
580 , 2.89498e-07 , 226.787 , 1446.79 , 526.516 , 37.9906 , 1.55531
600 , 2.99498e-07 , 226.709 , 1446.98 , 526.776 , 38.0295 , 1.5224
620 , 3.09498e-07 , 226.63 , 1447.01 , 527.015 , 38.0912 , 1.48503
640 , 3.19498e-07 , 226.56 , 1447.02 , 527.252 , 38.1613 , 1.44497
660 , 3.29498e-07 , 226.502 , 1447.12 , 527.502 , 38.2289 , 1.40402
680 , 3.39498e-07 , 226.457 , 1447.38 , 527.766 , 38.2894 , 1.36384
700 , 3.49498e-07 , 226.418 , 1447.74 , 528.035 , 38.3455 , 1.32582
720 , 3.59498e-07 , 226.377 , 1448.06 , 528.283 , 38.4059 , 1.29098
740 , 3.69497e-07 , 226.324 , 1448.14 , 528.477 , 38.4836 , 1.25992
760 , 3.79497e-07 , 226.253 , 1447.77 , 528.585 , 38.5906 , 1.23276
