Step , TotalTime , T , P , Ux , Uy , Uz
1440 , 7.19494e-07 , 232.87 , 646.602 , 429.298 , 4.85426 , 0.158104
1460 , 7.29494e-07 , 232.86 , 646.586 , 429.334 , 4.8412 , 0.157508
1480 , 7.39494e-07 , 232.849 , 646.57 , 429.371 , 4.82809 , 0.156911
1500 , 7.49493e-07 , 232.839 , 646.557 , 429.409 , 4.81507 , 0.156318
1520 , 7.59493e-07 , 232.828 , 646.544 , 429.447 , 4.80221 , 0.155731
1540 , 7.69493e-07 , 232.818 , 646.534 , 429.485 , 4.78964 , 0.155156
1560 , 7.79493e-07 , 232.807 , 646.524 , 429.524 , 4.77751 , 0.1546
1580 , 7.89493e-07 , 232.797 , 646.515 , 429.563 , 4.76588 , 0.154063
1600 , 7.99493e-07 , 232.786 , 646.507 , 429.602 , 4.75485 , 0.15355
1620 , 8.09493e-07 , 232.775 , 646.499 , 429.642 , 4.74453 , 0.153066
1640 , 8.19493e-07 , 232.764 , 646.492 , 429.681 , 4.73504 , 0.152615
1660 , 8.29493e-07 , 232.754 , 646.488 , 429.721 , 4.72641 , 0.152198
1680 , 8.39493e-07 , 232.743 , 646.484 , 429.76 , 4.71879 , 0.151822
1700 , 8.49492e-07 , 232.733 , 646.479 , 429.8 , 4.71228 , 0.15149
1720 , 8.59492e-07 , 232.722 , 646.475 , 429.839 , 4.70705 , 0.151208
1740 , 8.69492e-07 , 232.711 , 646.472 , 429.877 , 4.70322 , 0.150982
1760 , 8.79492e-07 , 232.7 , 646.468 , 429.916 , 4.70085 , 0.150813
1780 , 8.89492e-07 , 232.689 , 646.463 , 429.955 , 4.69989 , 0.150701
1800 , 8.99492e-07 , 232.678 , 646.456 , 429.994 , 4.70047 , 0.150649
1820 , 9.09492e-07 , 232.666 , 646.45 , 430.033 , 4.70265 , 0.150661
1840 , 9.19492e-07 , 232.655 , 646.442 , 430.072 , 4.70649 , 0.150739
1860 , 9.29492e-07 , 232.643 , 646.435 , 430.109 , 4.71203 , 0.150885
1880 , 9.39491e-07 , 232.632 , 646.427 , 430.146 , 4.71941 , 0.151103
1900 , 9.49491e-07 , 232.62 , 646.417 , 430.183 , 4.72874 , 0.151398
1920 , 9.59491e-07 , 232.609 , 646.406 , 430.219 , 4.74001 , 0.151769
1940 , 9.69491e-07 , 232.597 , 646.394 , 430.254 , 4.75329 , 0.152221
1960 , 9.79491e-07 , 232.585 , 646.381 , 430.288 , 4.76858 , 0.152752
1980 , 9.89491e-07 , 232.574 , 646.366 , 430.321 , 4.78588 , 0.153363
2000 , 9.99491e-07 , 232.562 , 646.35 , 430.354 , 4.80524 , 0.154055
2020 , 1.00949e-06 , 232.55 , 646.333 , 430.386 , 4.8267 , 0.15483
2040 , 1.01949e-06 , 232.538 , 646.314 , 430.417 , 4.85025 , 0.155687
2060 , 1.02949e-06 , 232.527 , 646.295 , 430.446 , 4.87587 , 0.156627
2080 , 1.03949e-06 , 232.515 , 646.274 , 430.474 , 4.90349 , 0.157646
2100 , 1.04949e-06 , 232.504 , 646.252 , 430.501 , 4.93309 , 0.158743
2120 , 1.05949e-06 , 232.492 , 646.227 , 430.528 , 4.96464 , 0.159918
2140 , 1.06949e-06 , 232.481 , 646.203 , 430.553 , 4.9981 , 0.161169
2160 , 1.07949e-06 , 232.47 , 646.178 , 430.577 , 5.03337 , 0.162491
2180 , 1.08949e-06 , 232.459 , 646.152 , 430.599 , 5.07034 , 0.16388
2200 , 1.09949e-06 , 232.448 , 646.125 , 430.621 , 5.10891 , 0.165333
2220 , 1.10949e-06 , 232.438 , 646.098 , 430.641 , 5.14894 , 0.166843
2240 , 1.11949e-06 , 232.428 , 646.07 , 430.661 , 5.19029 , 0.168407
2260 , 1.12949e-06 , 232.418 , 646.044 , 430.679 , 5.23283 , 0.170017
2280 , 1.13949e-06 , 232.409 , 646.019 , 430.696 , 5.27633 , 0.171666
2300 , 1.14949e-06 , 232.401 , 645.996 , 430.712 , 5.32072 , 0.173351
2320 , 1.15949e-06 , 232.393 , 645.974 , 430.726 , 5.36584 , 0.175065
2340 , 1.16949e-06 , 232.385 , 645.953 , 430.741 , 5.41146 , 0.176799
2360 , 1.17949e-06 , 232.379 , 645.934 , 430.754 , 5.45747 , 0.178549
2380 , 1.18949e-06 , 232.372 , 645.918 , 430.767 , 5.50359 , 0.180305
2400 , 1.19949e-06 , 232.366 , 645.905 , 430.779 , 5.54969 , 0.18206
2420 , 1.20949e-06 , 232.362 , 645.897 , 430.79 , 5.59555 , 0.183805
