Step , TotalTime , T , P , Ux , Uy , Uz
100000 , 4.99491e-05 , 292.201 , 583.983 , 338.191 , 1.38226 , 0.054321
100020 , 4.9959e-05 , 292.201 , 583.983 , 338.191 , 1.38224 , 0.0543211
100040 , 4.9969e-05 , 292.201 , 583.983 , 338.191 , 1.38223 , 0.0543211
100060 , 4.9979e-05 , 292.201 , 583.983 , 338.191 , 1.38222 , 0.0543211
100080 , 4.99889e-05 , 292.201 , 583.983 , 338.191 , 1.38221 , 0.0543209
100100 , 4.99989e-05 , 292.201 , 583.983 , 338.191 , 1.38219 , 0.0543206
100120 , 5.00089e-05 , 292.201 , 583.983 , 338.191 , 1.38218 , 0.0543204
100140 , 5.00188e-05 , 292.201 , 583.983 , 338.191 , 1.38217 , 0.0543202
100160 , 5.00288e-05 , 292.201 , 583.983 , 338.191 , 1.38216 , 0.0543201
100180 , 5.00388e-05 , 292.201 , 583.983 , 338.191 , 1.38214 , 0.0543199
100200 , 5.00487e-05 , 292.201 , 583.983 , 338.191 , 1.38212 , 0.0543199
100220 , 5.00587e-05 , 292.201 , 583.983 , 338.191 , 1.38211 , 0.0543197
100240 , 5.00687e-05 , 292.201 , 583.983 , 338.191 , 1.38209 , 0.0543192
100260 , 5.00786e-05 , 292.201 , 583.983 , 338.191 , 1.38207 , 0.0543185
100280 , 5.00886e-05 , 292.201 , 583.983 , 338.191 , 1.38206 , 0.0543179
100300 , 5.00986e-05 , 292.201 , 583.983 , 338.191 , 1.38203 , 0.0543173
100320 , 5.01085e-05 , 292.201 , 583.983 , 338.191 , 1.38201 , 0.0543167
100340 , 5.01185e-05 , 292.201 , 583.983 , 338.191 , 1.38199 , 0.054316
100360 , 5.01285e-05 , 292.201 , 583.983 , 338.191 , 1.38197 , 0.0543154
100380 , 5.01384e-05 , 292.201 , 583.983 , 338.191 , 1.38195 , 0.0543147
100400 , 5.01484e-05 , 292.201 , 583.983 , 338.191 , 1.38193 , 0.0543141
100420 , 5.01584e-05 , 292.201 , 583.983 , 338.191 , 1.3819 , 0.0543134
100440 , 5.01684e-05 , 292.201 , 583.983 , 338.191 , 1.38188 , 0.0543127
100460 , 5.01783e-05 , 292.201 , 583.983 , 338.191 , 1.38186 , 0.0543119
100480 , 5.01883e-05 , 292.201 , 583.983 , 338.191 , 1.38184 , 0.0543113
100500 , 5.01983e-05 , 292.201 , 583.983 , 338.191 , 1.38181 , 0.0543106
100520 , 5.02082e-05 , 292.201 , 583.983 , 338.191 , 1.38179 , 0.0543099
100540 , 5.02182e-05 , 292.201 , 583.983 , 338.191 , 1.38177 , 0.0543092
100560 , 5.02282e-05 , 292.201 , 583.983 , 338.191 , 1.38174 , 0.0543085
100580 , 5.02381e-05 , 292.201 , 583.983 , 338.191 , 1.38172 , 0.0543078
100600 , 5.02481e-05 , 292.201 , 583.983 , 338.191 , 1.38169 , 0.0543072
100620 , 5.02581e-05 , 292.201 , 583.983 , 338.191 , 1.38167 , 0.0543064
100640 , 5.0268e-05 , 292.201 , 583.983 , 338.191 , 1.38165 , 0.0543059
100660 , 5.0278e-05 , 292.201 , 583.983 , 338.191 , 1.38162 , 0.0543051
100680 , 5.0288e-05 , 292.201 , 583.983 , 338.191 , 1.3816 , 0.0543045
100700 , 5.02979e-05 , 292.201 , 583.983 , 338.191 , 1.38158 , 0.0543039
100720 , 5.03079e-05 , 292.201 , 583.983 , 338.191 , 1.38156 , 0.0543032
100740 , 5.03179e-05 , 292.201 , 583.983 , 338.191 , 1.38153 , 0.0543025
100760 , 5.03278e-05 , 292.201 , 583.983 , 338.191 , 1.38151 , 0.0543018
100780 , 5.03378e-05 , 292.201 , 583.983 , 338.191 , 1.38149 , 0.0543012
100800 , 5.03478e-05 , 292.201 , 583.983 , 338.191 , 1.38147 , 0.0543006
100820 , 5.03577e-05 , 292.201 , 583.983 , 338.191 , 1.38144 , 0.0543001
100840 , 5.03677e-05 , 292.201 , 583.983 , 338.191 , 1.38142 , 0.0542995
100860 , 5.03777e-05 , 292.201 , 583.983 , 338.191 , 1.38141 , 0.0542989
100880 , 5.03877e-05 , 292.201 , 583.983 , 338.191 , 1.38139 , 0.0542982
100900 , 5.03976e-05 , 292.201 , 583.983 , 338.191 , 1.38137 , 0.0542975
100920 , 5.04076e-05 , 292.201 , 583.983 , 338.191 , 1.38136 , 0.054297
100940 , 5.04176e-05 , 292.201 , 583.983 , 338.191 , 1.38134 , 0.0542965
100960 , 5.04275e-05 , 292.201 , 583.983 , 338.191 , 1.38132 , 0.054296
100980 , 5.04375e-05 , 292.201 , 583.983 , 338.191 , 1.3813 , 0.0542955
101000 , 5.04475e-05 , 292.201 , 583.983 , 338.191 , 1.38129 , 0.054295
101020 , 5.04574e-05 , 292.201 , 583.983 , 338.191 , 1.38128 , 0.0542946
101040 , 5.04674e-05 , 292.201 , 583.983 , 338.191 , 1.38126 , 0.0542942
101060 , 5.04774e-05 , 292.201 , 583.983 , 338.191 , 1.38125 , 0.0542938
101080 , 5.04873e-05 , 292.201 , 583.983 , 338.191 , 1.38124 , 0.0542934
