Step , TotalTime , T , P , Ux , Uy , Uz
100000 , 4.99491e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
100020 , 4.9959e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
100040 , 4.9969e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
100060 , 4.9979e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
100080 , 4.99889e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
100100 , 4.99989e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
100120 , 5.00089e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
100140 , 5.00188e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
100160 , 5.00288e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48959
100180 , 5.00388e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48959
100200 , 5.00487e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100220 , 5.00587e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100240 , 5.00687e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100260 , 5.00786e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100280 , 5.00886e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100300 , 5.00986e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100320 , 5.01085e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100340 , 5.01185e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100360 , 5.01285e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100380 , 5.01384e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100400 , 5.01484e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100420 , 5.01584e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100440 , 5.01684e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100460 , 5.01783e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100480 , 5.01883e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100500 , 5.01983e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100520 , 5.02082e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100540 , 5.02182e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100560 , 5.02282e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100580 , 5.02381e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100600 , 5.02481e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100620 , 5.02581e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100640 , 5.0268e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100660 , 5.0278e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100680 , 5.0288e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100700 , 5.02979e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100720 , 5.03079e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100740 , 5.03179e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100760 , 5.03278e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100780 , 5.03378e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100800 , 5.03478e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100820 , 5.03577e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100840 , 5.03677e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100860 , 5.03777e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100880 , 5.03877e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100900 , 5.03976e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100920 , 5.04076e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100940 , 5.04176e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100960 , 5.04275e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
100980 , 5.04375e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101000 , 5.04475e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101020 , 5.04574e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101040 , 5.04674e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101060 , 5.04774e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101080 , 5.04873e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101100 , 5.04973e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101120 , 5.05073e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101140 , 5.05172e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101160 , 5.05272e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101180 , 5.05372e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101200 , 5.05471e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101220 , 5.05571e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101240 , 5.05671e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
101260 , 5.0577e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48959
101280 , 5.0587e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48959
101300 , 5.0597e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48959
101320 , 5.06069e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48959
101340 , 5.06169e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48959
101360 , 5.06269e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48959
101380 , 5.06369e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48959
101400 , 5.06468e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101420 , 5.06568e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101440 , 5.06668e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101460 , 5.06767e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101480 , 5.06867e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101500 , 5.06967e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101520 , 5.07066e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101540 , 5.07166e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101560 , 5.07266e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101580 , 5.07365e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101600 , 5.07465e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101620 , 5.07565e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101640 , 5.07664e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101660 , 5.07764e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101680 , 5.07864e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101700 , 5.07963e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101720 , 5.08063e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101740 , 5.08163e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101760 , 5.08262e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101780 , 5.08362e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101800 , 5.08462e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101820 , 5.08561e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101840 , 5.08661e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101860 , 5.08761e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101880 , 5.08861e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101900 , 5.0896e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101920 , 5.0906e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101940 , 5.0916e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101960 , 5.09259e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
101980 , 5.09359e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102000 , 5.09459e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102020 , 5.09558e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102040 , 5.09658e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102060 , 5.09758e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102080 , 5.09857e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102100 , 5.09957e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102120 , 5.10057e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102140 , 5.10156e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102160 , 5.10256e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102180 , 5.10356e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102200 , 5.10455e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102220 , 5.10555e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102240 , 5.10655e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102260 , 5.10754e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102280 , 5.10854e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102300 , 5.10954e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102320 , 5.11054e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102340 , 5.11153e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102360 , 5.11253e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102380 , 5.11353e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102400 , 5.11452e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102420 , 5.11552e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102440 , 5.11652e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102460 , 5.11751e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102480 , 5.11851e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102500 , 5.11951e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102520 , 5.1205e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102540 , 5.1215e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102560 , 5.1225e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102580 , 5.12349e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48958
102600 , 5.12449e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102620 , 5.12549e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102640 , 5.12648e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102660 , 5.12748e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102680 , 5.12848e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102700 , 5.12947e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102720 , 5.13047e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102740 , 5.13147e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102760 , 5.13246e-05 , 225.275 , 1437.51 , 527.001 , 37.9124 , 1.48959
102780 , 5.13346e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
102800 , 5.13446e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
102820 , 5.13546e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
102840 , 5.13645e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
102860 , 5.13745e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
102880 , 5.13845e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
102900 , 5.13944e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
102920 , 5.14044e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
102940 , 5.14144e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
102960 , 5.14243e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
102980 , 5.14343e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
103000 , 5.14443e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
103020 , 5.14542e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
103040 , 5.14642e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
103060 , 5.14742e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
103080 , 5.14841e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
103100 , 5.14941e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
103120 , 5.15041e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
103140 , 5.1514e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
103160 , 5.1524e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
103180 , 5.1534e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48958
103200 , 5.15439e-05 , 225.275 , 1437.51 , 527.001 , 37.9122 , 1.48958
103220 , 5.15539e-05 , 225.275 , 1437.51 , 527.001 , 37.9122 , 1.48958
103240 , 5.15639e-05 , 225.275 , 1437.51 , 527.001 , 37.9122 , 1.48958
103260 , 5.15739e-05 , 225.275 , 1437.51 , 527.001 , 37.9122 , 1.48958
103280 , 5.15838e-05 , 225.275 , 1437.51 , 527.001 , 37.9122 , 1.48957
103300 , 5.15938e-05 , 225.275 , 1437.51 , 527.001 , 37.9122 , 1.48957
103320 , 5.16038e-05 , 225.275 , 1437.51 , 527.001 , 37.9122 , 1.48957
103340 , 5.16137e-05 , 225.276 , 1437.51 , 527.001 , 37.9122 , 1.48957
103360 , 5.16237e-05 , 225.276 , 1437.51 , 527.001 , 37.9122 , 1.48957
103380 , 5.16337e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103400 , 5.16436e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103420 , 5.16536e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103440 , 5.16636e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103460 , 5.16735e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103480 , 5.16835e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103500 , 5.16935e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103520 , 5.17034e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103540 , 5.17134e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103560 , 5.17234e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103580 , 5.17333e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103600 , 5.17433e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103620 , 5.17533e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103640 , 5.17632e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103660 , 5.17732e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48957
103680 , 5.17832e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48958
103700 , 5.17931e-05 , 225.276 , 1437.51 , 527.001 , 37.9121 , 1.48958
103720 , 5.18031e-05 , 225.276 , 1437.51 , 527.001 , 37.9122 , 1.48958
103740 , 5.18131e-05 , 225.275 , 1437.51 , 527.001 , 37.9122 , 1.48959
103760 , 5.18231e-05 , 225.275 , 1437.51 , 527.001 , 37.9123 , 1.48959
103780 , 5.1833e-05 , 225.275 , 1437.5 , 527.001 , 37.9124 , 1.48959
103800 , 5.1843e-05 , 225.275 , 1437.5 , 527.001 , 37.9124 , 1.48959
103820 , 5.1853e-05 , 225.275 , 1437.5 , 527.001 , 37.9125 , 1.48959
103840 , 5.18629e-05 , 225.275 , 1437.5 , 527.001 , 37.9125 , 1.4896
103860 , 5.18729e-05 , 225.275 , 1437.5 , 527.001 , 37.9125 , 1.4896
103880 , 5.18829e-05 , 225.275 , 1437.5 , 527.001 , 37.9126 , 1.4896
103900 , 5.18928e-05 , 225.275 , 1437.5 , 527.001 , 37.9126 , 1.4896
103920 , 5.19028e-05 , 225.275 , 1437.5 , 527.001 , 37.9126 , 1.4896
103940 , 5.19128e-05 , 225.275 , 1437.5 , 527.001 , 37.9127 , 1.4896
