x_over_L,P_over_Pt,Mach,ro,u,P
7.73809552e-02,8.44572067e-01,4.97224122e-01,1.22622919e+00,1.69273254e+02,1.01511648e+05
7.73809552e-02,8.44635844e-01,4.97128010e-01,1.22629535e+00,1.69242340e+02,1.01519312e+05
8.13492090e-02,8.44647050e-01,4.97090638e-01,1.22630715e+00,1.69229935e+02,1.01520664e+05
8.13492090e-02,8.44581425e-01,4.97189611e-01,1.22623920e+00,1.69261749e+02,1.01512773e+05
8.13492090e-02,8.44515264e-01,4.97289866e-01,1.22617114e+00,1.69293945e+02,1.01504820e+05
8.53174627e-02,8.44657898e-01,4.97051477e-01,1.22631824e+00,1.69216934e+02,1.01521969e+05
8.53174627e-02,8.44590485e-01,4.97153729e-01,1.22624874e+00,1.69249771e+02,1.01513867e+05
8.53174627e-02,8.44522417e-01,4.97256964e-01,1.22617817e+00,1.69282974e+02,1.01505680e+05
8.92857090e-02,8.44668984e-01,4.97010618e-01,1.22633004e+00,1.69203308e+02,1.01523297e+05
8.92857090e-02,8.44599605e-01,4.97116297e-01,1.22625852e+00,1.69237274e+02,1.01514961e+05
8.92857090e-02,8.44529927e-01,4.97222304e-01,1.22618556e+00,1.69271423e+02,1.01506586e+05
9.32539701e-02,8.44537973e-01,4.97185886e-01,1.22619426e+00,1.69259232e+02,1.01507555e+05
9.32539701e-02,8.44609797e-01,4.97076064e-01,1.22626925e+00,1.69223862e+02,1.01516188e+05
9.32539701e-02,8.44680846e-01,4.96967167e-01,1.22634256e+00,1.69188843e+02,1.01524727e+05
9.72222313e-02,8.44694436e-01,4.96920258e-01,1.22635651e+00,1.69173279e+02,1.01526359e+05
9.72222313e-02,8.44621301e-01,4.97032940e-01,1.22628105e+00,1.69209518e+02,1.01517570e+05
9.72222313e-02,8.44547570e-01,4.97146457e-01,1.22620428e+00,1.69246063e+02,1.01508703e+05
1.01190478e-01,8.44709873e-01,4.96869802e-01,1.22637236e+00,1.69156555e+02,1.01528211e+05
1.01190478e-01,8.44634652e-01,4.96986300e-01,1.22629440e+00,1.69194046e+02,1.01519172e+05
1.01190478e-01,8.44558716e-01,4.97103602e-01,1.22621572e+00,1.69231812e+02,1.01510047e+05
1.05158724e-01,8.44727814e-01,4.96815085e-01,1.22639108e+00,1.69138428e+02,1.01530367e+05
1.05158724e-01,8.44650567e-01,4.96935427e-01,1.22631073e+00,1.69177200e+02,1.01521086e+05
1.05158724e-01,8.44572484e-01,4.97056991e-01,1.22622979e+00,1.69216339e+02,1.01511703e+05
1.09126985e-01,8.44589889e-01,4.97005671e-01,1.22624779e+00,1.69199371e+02,1.01513789e+05
1.09126985e-01,8.44669819e-01,4.96879816e-01,1.22633052e+00,1.69158829e+02,1.01523398e+05
