x_over_L,P_over_Pt,Mach,ro,u,P
7.73809552e-02,2.18421459e-01,1.64991820e+00,4.00756121e-01,4.55757690e+02,2.18421465e+04
7.73809552e-02,2.18424410e-01,1.64990938e+00,4.00760263e-01,4.55755951e+02,2.18424414e+04
8.13492090e-02,2.18424574e-01,1.64990842e+00,4.00760382e-01,4.55755798e+02,2.18424570e+04
8.13492090e-02,2.18421325e-01,1.64991868e+00,4.00756180e-01,4.55757660e+02,2.18421328e+04
8.13492090e-02,2.18424588e-01,1.64990902e+00,4.00760502e-01,4.55755890e+02,2.18424590e+04
8.53174627e-02,2.18424529e-01,1.64990866e+00,4.00760233e-01,4.55755890e+02,2.18424531e+04
8.53174627e-02,2.18421459e-01,1.64991856e+00,4.00756299e-01,4.55757660e+02,2.18421465e+04
8.53174627e-02,2.18424663e-01,1.64990878e+00,4.00760561e-01,4.55755890e+02,2.18424668e+04
8.92857090e-02,2.18424469e-01,1.64990902e+00,4.00760204e-01,4.55755951e+02,2.18424473e+04
8.92857090e-02,2.18421504e-01,1.64991879e+00,4.00756449e-01,4.55757690e+02,2.18421504e+04
8.92857090e-02,2.18424723e-01,1.64990878e+00,4.00760591e-01,4.55755920e+02,2.18424727e+04
9.32539701e-02,2.18424723e-01,1.64990807e+00,4.00760412e-01,4.55755829e+02,2.18424727e+04
9.32539701e-02,2.18421489e-01,1.64991832e+00,4.00756270e-01,4.55757660e+02,2.18421484e+04
9.32539701e-02,2.18424469e-01,1.64990902e+00,4.00760233e-01,4.55755951e+02,2.18424473e+04
9.72222313e-02,2.18424574e-01,1.64990878e+00,4.00760323e-01,4.55755920e+02,2.18424570e+04
9.72222313e-02,2.18421385e-01,1.64991820e+00,4.00756180e-01,4.55757568e+02,2.18421387e+04
9.72222313e-02,2.18424633e-01,1.64990830e+00,4.00760382e-01,4.55755859e+02,2.18424629e+04
1.01190478e-01,2.18424708e-01,1.64990866e+00,4.00760561e-01,4.55755890e+02,2.18424707e+04
1.01190478e-01,2.18421429e-01,1.64991820e+00,4.00756270e-01,4.55757568e+02,2.18421426e+04
1.01190478e-01,2.18424663e-01,1.64990830e+00,4.00760472e-01,4.55755798e+02,2.18424668e+04
1.05158724e-01,2.18424752e-01,1.64990819e+00,4.00760591e-01,4.55755829e+02,2.18424746e+04
1.05158724e-01,2.18421608e-01,1.64991784e+00,4.00756508e-01,4.55757538e+02,2.18421602e+04
1.05158724e-01,2.18424827e-01,1.64990807e+00,4.00760710e-01,4.55755798e+02,2.18424824e+04
1.09126985e-01,2.18424812e-01,1.64990807e+00,4.00760770e-01,4.55755737e+02,2.18424805e+04
1.09126985e-01,2.18421623e-01,1.64991760e+00,4.00756478e-01,4.55757507e+02,2.18421621e+04
1.09126985e-01,2.18424842e-01,1.64990819e+00,4.00760770e-01,4.55755829e+02,2.18424844e+04
1.13095231e-01,2.18424946e-01,1.64990771e+00,4.00760859e-01,4.55755737e+02,2.18424941e+04
1.13095231e-01,2.18421653e-01,1.64991784e+00,4.00756627e-01,4.55757477e+02,2.18421660e+04
1.13095231e-01,2.18424857e-01,1.64990795e+00,4.00760770e-01,4.55755737e+02,2.18424863e+04
1.17063500e-01,2.18424976e-01,1.64990783e+00,4.00760829e-01,4.55755829e+02,2.18424980e+04
1.17063500e-01,2.18421653e-01,1.64991760e+00,4.00756687e-01,4.55757416e+02,2.18421660e+04
1.17063500e-01,2.18424842e-01,1.64990830e+00,4.00760919e-01,4.55755737e+02,2.18424844e+04
1.21031754e-01,2.18425095e-01,1.64990699e+00,4.00760949e-01,4.55755646e+02,2.18425098e+04
1.21031754e-01,2.18421653e-01,1.64991772e+00,4.00756657e-01,4.55757446e+02,2.18421660e+04
1.21031754e-01,2.18424961e-01,1.64990819e+00,4.00761098e-01,4.55755707e+02,2.18424961e+04
1.25000000e-01,2.18424946e-01,1.64990807e+00,4.00761127e-01,4.55755676e+02,2.18424941e+04
1.25000000e-01,2.18421757e-01,1.64991724e+00,4.00756747e-01,4.55757355e+02,2.18421758e+04
1.25000000e-01,2.18425095e-01,1.64990711e+00,4.00760949e-01,4.55755676e+02,2.18425098e+04
1.28968254e-01,2.18425035e-01,1.64990687e+00,4.00760949e-01,4.55755554e+02,2.18425039e+04
1.28968254e-01,2.18421757e-01,1.64991689e+00,4.00756598e-01,4.55757355e+02,2.18421758e+04
1.28968254e-01,2.18424946e-01,1.64990878e+00,4.00761157e-01,4.55755829e+02,2.18424941e+04
1.32936493e-01,2.18425006e-01,1.64990759e+00,4.00761068e-01,4.55755646e+02,2.18425000e+04
1.32936493e-01,2.18421772e-01,1.64991677e+00,4.00756538e-01,4.55757385e+02,2.18421777e+04
1.32936493e-01,2.18424857e-01,1.64990890e+00,4.00761008e-01,4.55755859e+02,2.18424863e+04
1.36904761e-01,2.18425065e-01,1.64990771e+00,4.00761127e-01,4.55755676e+02,2.18425059e+04
1.36904761e-01,2.18421698e-01,1.64991713e+00,4.00756449e-01,4.55757446e+02,2.18421699e+04
1.36904761e-01,2.18424663e-01,1.64990890e+00,4.00760800e-01,4.55755798e+02,2.18424668e+04
1.40873030e-01,2.18424648e-01,1.64990890e+00,4.00760710e-01,4.55755798e+02,2.18424648e+04
1.40873030e-01,2.18421772e-01,1.64991713e+00,4.00756508e-01,4.55757477e+02,2.18421777e+04
1.40873030e-01,2.18425006e-01,1.64990747e+00,4.00760978e-01,4.55755676e+02,2.18425000e+04
1.44841269e-01,2.18424901e-01,1.64990771e+00,4.00760829e-01,4.55755676e+02,2.18424902e+04
1.44841269e-01,2.18421757e-01,1.64991796e+00,4.00756687e-01,4.55757599e+02,2.18421758e+04
1.44841269e-01,2.18424693e-01,1.64990807e+00,4.00760561e-01,4.55755737e+02,2.18424688e+04
1.48809522e-01,2.18424782e-01,1.64990795e+00,4.00760710e-01,4.55755707e+02,2.18424785e+04
1.48809522e-01,2.18421802e-01,1.64991772e+00,4.00756925e-01,4.55757446e+02,2.18421797e+04
1.48809522e-01,2.18424723e-01,1.64990783e+00,4.00760561e-01,4.55755707e+02,2.18424727e+04
1.52777761e-01,2.18424693e-01,1.64990807e+00,4.00760502e-01,4.55755737e+02,2.18424688e+04
1.52777761e-01,2.18421772e-01,1.64991724e+00,4.00756866e-01,4.55757324e+02,2.18421777e+04
1.52777761e-01,2.18424842e-01,1.64990711e+00,4.00760680e-01,4.55755585e+02,2.18424844e+04
1.56746030e-01,2.18424901e-01,1.64990664e+00,4.00760740e-01,4.55755493e+02,2.18424902e+04
1.56746030e-01,2.18421757e-01,1.64991689e+00,4.00756747e-01,4.55757263e+02,2.18421758e+04
1.56746030e-01,2.18424663e-01,1.64990807e+00,4.00760472e-01,4.55755737e+02,2.18424668e+04
1.60714284e-01,2.18424693e-01,1.64990866e+00,4.00760591e-01,4.55755859e+02,2.18424688e+04
1.60714284e-01,2.18421713e-01,1.64991689e+00,4.00756657e-01,4.55757324e+02,2.18421719e+04
1.60714284e-01,2.18424901e-01,1.64990675e+00,4.00760800e-01,4.55755463e+02,2.18424902e+04
1.64682552e-01,2.18424901e-01,1.64990783e+00,4.00760770e-01,4.55755768e+02,2.18424902e+04
1.64682552e-01,2.18421683e-01,1.64991713e+00,4.00756627e-01,4.55757324e+02,2.18421680e+04
1.64682552e-01,2.18424901e-01,1.64990699e+00,4.00760800e-01,4.55755524e+02,2.18424902e+04
1.68650791e-01,2.18424782e-01,1.64990830e+00,4.00760800e-01,4.55755737e+02,2.18424785e+04
1.68650791e-01,2.18421698e-01,1.64991701e+00,4.00756598e-01,4.55757355e+02,2.18421699e+04
