role,L_c,M_K,n_axis,hard_gate,error,x_K,ell_K,xi_K,s_K,Mpp_sign_changes,single_peak,theta_max_deg,min_mu_minus_theta_deg,flip_interior,topology_margin,downstream_max_dkds,downstream_J_dkds2,Mppp_jump,max_Mppp,J_axis
sweep,30.0,1.5,600,False,,1.2308312315189394,0.8062265172443408,0.026874217241478027,0.3082849157994656,1,True,19.99067347248486,-1.27727160546212,0,0.045500108746931826,10.816686047565245,22.821705938192924,2.0231329369696383,2.8624086099746235,1.6260274212837817
sweep,30.0,1.6,600,True,,1.4691686187935087,1.0445639045189101,0.03481879681729701,0.3039152983564757,1,True,19.90551840769459,-1.237033107800891,0,0.04566642552403199,15.605391766724283,24.365094126230357,1.1930910622110176,1.8403686964368653,0.8182516369439519
sweep,30.0,1.7,600,True,,1.710027686323691,1.2854229720490924,0.042847432401636416,0.2994994490647979,1,True,19.824014958401737,-1.201622221060665,0,0.045850668253810636,11.654749314771449,15.32087432381078,0.7799206159301207,1.3055005862385425,0.47984709619243765
sweep,30.0,1.8,600,True,,1.953490209576361,1.5288854953017625,0.05096284984339208,0.2950358686736289,1,True,19.72652066507202,-1.1584218812789284,0,0.04605415233695335,7.346012208999452,6.978797004564547,0.5457419907939536,0.987275971270342,0.31116028879150226
sweep,30.0,1.9,600,True,,2.1996424817843847,1.7750377675097861,0.05916792558365954,0.2905229751046698,1,True,19.648051828651575,-1.112515596024338,0,0.046278238745629724,6.171568613057949,5.919164288326534,0.4007881777948739,0.780785485715415,0.2165971999136104
sweep,30.0,2.0,600,True,,2.4485756712859534,2.023970957011355,0.06746569856704517,0.28595909690067184,1,True,19.58933476260699,-1.0675295580955086,0,0.04655694807028574,5.976912752841094,5.241273054784666,0.30515089773800064,0.6381380942616665,0.1588988484186961
sweep,30.0,2.1,600,True,,2.7003862160480288,2.27578150177343,0.07585938339244767,0.28134246599228546,1,True,19.560446892426913,-1.0141215779912656,0,0.046794919309362096,2.4588116256076655,1.0755523815145038,0.23892295908089467,0.5348192435810547,0.1213651268972079
sweep,30.0,2.2,600,True,,2.9551762602186975,2.530571545944099,0.0843523848648033,0.276671209694494,1,True,19.559376640463316,-0.9688627887419429,0,0.04709118226061366,3.1657097841169626,1.2471993676700912,0.1912858341936073,0.45716493797698937,0.0956942875190936
sweep,30.0,2.3,600,True,,3.213054138305186,2.7884494240305875,0.09294831413435292,0.27194334182980956,1,True,19.5933304589048,-0.9307380383029598,0,0.04741543161856377,1.8891597837235239,0.48681115339770725,0.15595648587178734,0.397039840812026,0.07741582864834498
sweep,30.0,2.4,600,True,,3.4741349134901385,3.04953019921554,0.101651006640518,0.26715675285892143,1,True,19.65314561231685,-0.9055569008358034,0,0.04770581928004287,1.173450458163166,0.22180543397019598,0.1290870637996955,0.34933842254646064,0.06396392791152448
sweep,30.0,2.5,600,True,,3.73854097767302,3.3139362633984213,0.1104645421132807,0.2623091988796785,1,True,19.724144837000356,-0.8954895727559359,0,0.0481028415302327,1.0638799902225982,0.14389372892790017,0.10821650224182366,0.3107156706968543,0.05378728026699536
sweep,30.0,2.6,600,True,,4.006402722114451,3.581798007839853,0.1193932669279951,0.2573982893316496,1,True,19.81961806047153,-0.9063567950603175,0,0.04846035260942965,0.8160698762154027,0.10064082857410078,0.09171268134675552,0.27890001877517406,0.04590644805425675
sweep,30.0,2.7,600,True,,4.277859289111409,3.8532545748368103,0.12844181916122702,0.252421473215105,1,True,19.928244481812207,-0.9310152470718858,0,0.048887050176540714,0.5372749617879863,0.0699586281952655,0.078459511946128,0.2523013538791955,0.03967998684222879
sweep,30.0,2.8,600,True,,4.553059417000233,4.128454702725634,0.13761515675752112,0.2473760235989559,1,True,20.042133505423998,-0.9664414216223517,0,0.049281983402227954,0.41340374167676236,0.06563396184571038,0.06767342927616425,0.22977725853053785,0.034674420455228255
