Step , TotalTime , T , P , Ux , Uy , Uz
20 , 9.5e-09 , 291.158 , 578.293 , 336.573 , 3.56941 , 0.181375
40 , 1.95e-08 , 291.172 , 578.226 , 336.517 , 3.59449 , 0.181521
60 , 2.95e-08 , 291.187 , 578.171 , 336.464 , 3.61279 , 0.181399
80 , 3.95e-08 , 291.205 , 578.13 , 336.414 , 3.62393 , 0.18099
100 , 4.94999e-08 , 291.225 , 578.103 , 336.368 , 3.62755 , 0.180278
120 , 5.94999e-08 , 291.247 , 578.091 , 336.326 , 3.62326 , 0.179252
140 , 6.94999e-08 , 291.272 , 578.093 , 336.288 , 3.61082 , 0.1779
160 , 7.95e-08 , 291.298 , 578.11 , 336.255 , 3.58996 , 0.176213
180 , 8.95e-08 , 291.327 , 578.144 , 336.227 , 3.56052 , 0.174186
200 , 9.95e-08 , 291.357 , 578.193 , 336.203 , 3.52244 , 0.171817
220 , 1.095e-07 , 291.39 , 578.258 , 336.185 , 3.47577 , 0.169104
240 , 1.195e-07 , 291.424 , 578.339 , 336.171 , 3.42052 , 0.166051
260 , 1.295e-07 , 291.459 , 578.435 , 336.163 , 3.35688 , 0.162665
280 , 1.395e-07 , 291.497 , 578.545 , 336.161 , 3.28501 , 0.158953
300 , 1.495e-07 , 291.535 , 578.67 , 336.163 , 3.20534 , 0.154932
320 , 1.595e-07 , 291.574 , 578.808 , 336.171 , 3.11822 , 0.150617
340 , 1.695e-07 , 291.614 , 578.957 , 336.184 , 3.0241 , 0.146026
360 , 1.79499e-07 , 291.655 , 579.118 , 336.202 , 2.92351 , 0.141178
380 , 1.89499e-07 , 291.696 , 579.289 , 336.224 , 2.81701 , 0.136098
400 , 1.99499e-07 , 291.737 , 579.468 , 336.251 , 2.70521 , 0.13081
420 , 2.09499e-07 , 291.778 , 579.655 , 336.283 , 2.58874 , 0.125338
440 , 2.19499e-07 , 291.818 , 579.848 , 336.319 , 2.46828 , 0.11971
460 , 2.29499e-07 , 291.858 , 580.046 , 336.359 , 2.34448 , 0.113951
480 , 2.39499e-07 , 291.897 , 580.247 , 336.403 , 2.21799 , 0.108087
500 , 2.49499e-07 , 291.935 , 580.451 , 336.45 , 2.08943 , 0.102144
520 , 2.59499e-07 , 291.972 , 580.657 , 336.501 , 1.95938 , 0.0961432
540 , 2.69499e-07 , 292.008 , 580.863 , 336.556 , 1.82845 , 0.0901102
560 , 2.79498e-07 , 292.042 , 581.068 , 336.614 , 1.69723 , 0.0840675
580 , 2.89498e-07 , 292.075 , 581.273 , 336.674 , 1.56617 , 0.0780343
600 , 2.99498e-07 , 292.107 , 581.477 , 336.738 , 1.43578 , 0.0720303
620 , 3.09498e-07 , 292.137 , 581.677 , 336.805 , 1.30654 , 0.066076
640 , 3.19498e-07 , 292.166 , 581.875 , 336.874 , 1.17886 , 0.0601857
660 , 3.29498e-07 , 292.193 , 582.069 , 336.947 , 1.05314 , 0.0543768
680 , 3.39498e-07 , 292.218 , 582.26 , 337.021 , 0.929709 , 0.0486622
700 , 3.49498e-07 , 292.242 , 582.448 , 337.098 , 0.808877 , 0.0430535
720 , 3.59498e-07 , 292.264 , 582.632 , 337.177 , 0.690911 , 0.0375633
740 , 3.69497e-07 , 292.285 , 582.812 , 337.258 , 0.576211 , 0.0322072
760 , 3.79497e-07 , 292.304 , 582.989 , 337.342 , 0.464946 , 0.0269926
780 , 3.89497e-07 , 292.322 , 583.162 , 337.427 , 0.357386 , 0.0219284
800 , 3.99497e-07 , 292.338 , 583.33 , 337.514 , 0.253741 , 0.0170252
820 , 4.09497e-07 , 292.353 , 583.495 , 337.602 , 0.154181 , 0.0122887
840 , 4.19497e-07 , 292.367 , 583.656 , 337.692 , 0.0588399 , 0.00772492
860 , 4.29497e-07 , 292.38 , 583.814 , 337.784 , -0.0321822 , 0.00333861
880 , 4.39497e-07 , 292.391 , 583.969 , 337.877 , -0.118735 , -0.000864339
900 , 4.49497e-07 , 292.402 , 584.121 , 337.972 , -0.20074 , -0.00488094
920 , 4.59497e-07 , 292.411 , 584.272 , 338.067 , -0.278324 , -0.00871604
940 , 4.69496e-07 , 292.42 , 584.421 , 338.163 , -0.351463 , -0.0123679
960 , 4.79496e-07 , 292.429 , 584.569 , 338.261 , -0.420222 , -0.0158392
980 , 4.89496e-07 , 292.437 , 584.717 , 338.36 , -0.484659 , -0.019132
1000 , 4.99496e-07 , 292.445 , 584.864 , 338.46 , -0.544946 , -0.0222528
1020 , 5.09496e-07 , 292.453 , 585.013 , 338.561 , -0.601202 , -0.0252056
1040 , 5.19496e-07 , 292.46 , 585.162 , 338.664 , -0.653535 , -0.0279951
1060 , 5.29496e-07 , 292.467 , 585.314 , 338.767 , -0.702229 , -0.0306319
1080 , 5.39496e-07 , 292.475 , 585.469 , 338.871 , -0.747405 , -0.0331213
1100 , 5.49496e-07 , 292.483 , 585.627 , 338.977 , -0.789223 , -0.0354687
1120 , 5.59496e-07 , 292.492 , 585.79 , 339.084 , -0.82779 , -0.0376787
1140 , 5.69495e-07 , 292.501 , 585.956 , 339.191 , -0.863259 , -0.0397574
1160 , 5.79495e-07 , 292.51 , 586.128 , 339.3 , -0.895752 , -0.0417108
1180 , 5.89495e-07 , 292.52 , 586.304 , 339.409 , -0.925301 , -0.0435364
1200 , 5.99495e-07 , 292.53 , 586.485 , 339.52 , -0.951755 , -0.0452255
1220 , 6.09495e-07 , 292.541 , 586.671 , 339.63 , -0.975006 , -0.0467765
1240 , 6.19495e-07 , 292.552 , 586.86 , 339.741 , -0.994945 , -0.0481866
1260 , 6.29495e-07 , 292.563 , 587.052 , 339.851 , -1.01138 , -0.0494477
1280 , 6.39495e-07 , 292.574 , 587.244 , 339.961 , -1.02393 , -0.050544
1300 , 6.49495e-07 , 292.585 , 587.437 , 340.07 , -1.03228 , -0.0514634
1320 , 6.59494e-07 , 292.596 , 587.629 , 340.177 , -1.03605 , -0.0521901
1340 , 6.69494e-07 , 292.605 , 587.818 , 340.282 , -1.03475 , -0.0527049
1360 , 6.79494e-07 , 292.614 , 588.003 , 340.385 , -1.02786 , -0.0529876
1380 , 6.89494e-07 , 292.621 , 588.18 , 340.485 , -1.01494 , -0.0530202
1400 , 6.99494e-07 , 292.627 , 588.349 , 340.581 , -0.995527 , -0.0527878
1420 , 7.09494e-07 , 292.631 , 588.507 , 340.672 , -0.969168 , -0.0522737
1440 , 7.19494e-07 , 292.633 , 588.652 , 340.759 , -0.93553 , -0.0514685
1460 , 7.29494e-07 , 292.633 , 588.783 , 340.841 , -0.894399 , -0.0503524
1480 , 7.39494e-07 , 292.632 , 588.899 , 340.918 , -0.845537 , -0.0489157
1500 , 7.49493e-07 , 292.628 , 588.999 , 340.988 , -0.788996 , -0.0471652
1520 , 7.59493e-07 , 292.622 , 589.082 , 341.053 , -0.724786 , -0.045099
1540 , 7.69493e-07 , 292.614 , 589.146 , 341.111 , -0.652996 , -0.0427219
1560 , 7.79493e-07 , 292.604 , 589.192 , 341.163 , -0.573907 , -0.0400487
