Step , TotalTime , T , P , Ux , Uy , Uz
1420 , 7.09494e-07 , 224.874 , 1428.25 , 524.02 , 38.4794 , 1.19099
1440 , 7.19494e-07 , 224.969 , 1428.63 , 523.872 , 38.4031 , 1.2213
1460 , 7.29494e-07 , 225.095 , 1430 , 523.882 , 38.2377 , 1.24886
1480 , 7.39494e-07 , 225.221 , 1431.98 , 524.006 , 38.0223 , 1.27357
1500 , 7.49493e-07 , 225.319 , 1433.93 , 524.167 , 37.8184 , 1.2966
1520 , 7.59493e-07 , 225.375 , 1435.31 , 524.295 , 37.6742 , 1.31915
1540 , 7.69493e-07 , 225.395 , 1435.93 , 524.365 , 37.6026 , 1.34164
1560 , 7.79493e-07 , 225.392 , 1435.91 , 524.387 , 37.585 , 1.36388
1580 , 7.89493e-07 , 225.382 , 1435.54 , 524.385 , 37.5942 , 1.38584
1600 , 7.99493e-07 , 225.369 , 1435.01 , 524.376 , 37.6129 , 1.40819
1620 , 8.09493e-07 , 225.359 , 1434.43 , 524.369 , 37.6372 , 1.43227
1640 , 8.19493e-07 , 225.353 , 1433.87 , 524.371 , 37.6671 , 1.45951
1660 , 8.29493e-07 , 225.358 , 1433.42 , 524.395 , 37.6986 , 1.49098
1680 , 8.39493e-07 , 225.375 , 1433.19 , 524.452 , 37.7247 , 1.52733
1700 , 8.49492e-07 , 225.403 , 1433.2 , 524.543 , 37.7424 , 1.56904
1720 , 8.59492e-07 , 225.434 , 1433.34 , 524.653 , 37.7572 , 1.61652
1740 , 8.69492e-07 , 225.461 , 1433.47 , 524.758 , 37.7811 , 1.67003
1760 , 8.79492e-07 , 225.479 , 1433.43 , 524.837 , 37.8257 , 1.72941
1780 , 8.89492e-07 , 225.487 , 1433.14 , 524.879 , 37.8947 , 1.79382
1800 , 8.99492e-07 , 225.493 , 1432.68 , 524.894 , 37.9804 , 1.86172
1820 , 9.09492e-07 , 225.507 , 1432.24 , 524.909 , 38.0652 , 1.93097
1840 , 9.19492e-07 , 225.535 , 1432.07 , 524.957 , 38.1292 , 1.9993
1860 , 9.29492e-07 , 225.579 , 1432.32 , 525.064 , 38.1595 , 2.0647
1880 , 9.39491e-07 , 225.63 , 1432.99 , 525.232 , 38.1583 , 2.1258
1900 , 9.49491e-07 , 225.676 , 1433.91 , 525.44 , 38.1422 , 2.18182
1920 , 9.59491e-07 , 225.702 , 1434.77 , 525.651 , 38.1342 , 2.23223
1940 , 9.69491e-07 , 225.702 , 1435.34 , 525.83 , 38.1522 , 2.27637
1960 , 9.79491e-07 , 225.674 , 1435.45 , 525.949 , 38.2044 , 2.31323
1980 , 9.89491e-07 , 225.62 , 1435.03 , 525.992 , 38.2895 , 2.34163
2000 , 9.99491e-07 , 225.547 , 1434.12 , 525.956 , 38.4 , 2.36037
2020 , 1.00949e-06 , 225.465 , 1432.85 , 525.851 , 38.5228 , 2.36836
2040 , 1.01949e-06 , 225.387 , 1431.42 , 525.7 , 38.6402 , 2.36478
2060 , 1.02949e-06 , 225.32 , 1430.06 , 525.531 , 38.7353 , 2.34925
2080 , 1.03949e-06 , 225.269 , 1428.91 , 525.365 , 38.7989 , 2.3222
2100 , 1.04949e-06 , 225.231 , 1428 , 525.208 , 38.8338 , 2.28495
2120 , 1.05949e-06 , 225.201 , 1427.25 , 525.051 , 38.8505 , 2.23952
2140 , 1.06949e-06 , 225.177 , 1426.57 , 524.889 , 38.8586 , 2.18821
2160 , 1.07949e-06 , 225.16 , 1425.93 , 524.721 , 38.8584 , 2.13315
2180 , 1.08949e-06 , 225.154 , 1425.39 , 524.555 , 38.8431 , 2.07631
2200 , 1.09949e-06 , 225.159 , 1424.99 , 524.401 , 38.8053 , 2.01964
2220 , 1.10949e-06 , 225.174 , 1424.75 , 524.261 , 38.7436 , 1.96516
2240 , 1.11949e-06 , 225.196 , 1424.65 , 524.136 , 38.6625 , 1.91482
2260 , 1.12949e-06 , 225.223 , 1424.63 , 524.025 , 38.5685 , 1.87023
2280 , 1.13949e-06 , 225.253 , 1424.68 , 523.929 , 38.4668 , 1.83242
2300 , 1.14949e-06 , 225.284 , 1424.78 , 523.849 , 38.3612 , 1.80183
2320 , 1.15949e-06 , 225.313 , 1424.9 , 523.782 , 38.2561 , 1.77833
2340 , 1.16949e-06 , 225.338 , 1424.97 , 523.72 , 38.1576 , 1.76132
2360 , 1.17949e-06 , 225.354 , 1424.92 , 523.652 , 38.0732 , 1.74983
2380 , 1.18949e-06 , 225.358 , 1424.65 , 523.561 , 38.01 , 1.74256
2400 , 1.19949e-06 , 225.351 , 1424.1 , 523.436 , 37.9719 , 1.73797
2420 , 1.20949e-06 , 225.339 , 1423.3 , 523.273 , 37.9559 , 1.73426
2440 , 1.21949e-06 , 225.33 , 1422.37 , 523.088 , 37.9497 , 1.72949
2460 , 1.22949e-06 , 225.338 , 1421.54 , 522.909 , 37.9337 , 1.72177
2480 , 1.23949e-06 , 225.369 , 1421.04 , 522.769 , 37.8905 , 1.70965
2500 , 1.24949e-06 , 225.423 , 1420.98 , 522.686 , 37.8144 , 1.69255
2520 , 1.25949e-06 , 225.491 , 1421.28 , 522.653 , 37.7175 , 1.67086
2540 , 1.26949e-06 , 225.561 , 1421.73 , 522.647 , 37.6229 , 1.64565
2560 , 1.27949e-06 , 225.625 , 1422.08 , 522.64 , 37.553 , 1.61808
2580 , 1.28949e-06 , 225.68 , 1422.2 , 522.615 , 37.5192 , 1.58888
2600 , 1.29949e-06 , 225.73 , 1422.04 , 522.565 , 37.5196 , 1.55831
2620 , 1.30949e-06 , 225.78 , 1421.69 , 522.498 , 37.5431 , 1.52626
2640 , 1.31949e-06 , 225.837 , 1421.29 , 522.431 , 37.5746 , 1.4925
2660 , 1.32949e-06 , 225.907 , 1420.99 , 522.386 , 37.5998 , 1.45696
2680 , 1.33949e-06 , 225.99 , 1420.93 , 522.384 , 37.6094 , 1.4199
2700 , 1.34949e-06 , 226.084 , 1421.17 , 522.435 , 37.6033 , 1.38206
2720 , 1.35949e-06 , 226.181 , 1421.66 , 522.54 , 37.5902 , 1.34461
2740 , 1.36949e-06 , 226.275 , 1422.29 , 522.686 , 37.5838 , 1.30889
2760 , 1.37949e-06 , 226.359 , 1422.93 , 522.86 , 37.5955 , 1.27601
2780 , 1.38949e-06 , 226.43 , 1423.51 , 523.051 , 37.6295 , 1.24661
2800 , 1.39949e-06 , 226.491 , 1424.04 , 523.258 , 37.6809 , 1.22074
2820 , 1.40949e-06 , 226.544 , 1424.57 , 523.487 , 37.7386 , 1.198
2840 , 1.41949e-06 , 226.593 , 1425.21 , 523.746 , 37.7901 , 1.17786
2860 , 1.42949e-06 , 226.638 , 1426.04 , 524.046 , 37.8267 , 1.15987
2880 , 1.43949e-06 , 226.679 , 1427.09 , 524.389 , 37.8467 , 1.14387
2900 , 1.44949e-06 , 226.71 , 1428.32 , 524.768 , 37.8552 , 1.12998
2920 , 1.45949e-06 , 226.73 , 1429.65 , 525.173 , 37.8601 , 1.11836
2940 , 1.46949e-06 , 226.739 , 1431.04 , 525.595 , 37.865 , 1.1089
