Step , TotalTime , T , P , Ux , Uy , Uz
20 , 9.5e-09 , 51.2073 , 607.092 , 858.963 , -1.68178 , -1.60787
40 , 1.95e-08 , 51.2261 , 607.79 , 858.713 , -1.66479 , -1.29936
60 , 2.95e-08 , 51.2454 , 608.382 , 858.567 , -1.37524 , -0.625717
80 , 3.95e-08 , 51.2625 , 608.7 , 858.542 , -0.946293 , 0.344958
100 , 4.94999e-08 , 51.274 , 608.741 , 858.585 , -0.472594 , 1.35553
120 , 5.94999e-08 , 51.2809 , 608.6 , 858.652 , -0.0569117 , 2.01248
140 , 6.94999e-08 , 51.2832 , 608.449 , 858.761 , 0.173571 , 2.19137
160 , 7.95e-08 , 51.2794 , 608.321 , 858.898 , 0.154359 , 2.18032
180 , 8.95e-08 , 51.2693 , 608.127 , 858.953 , -0.103566 , 2.07195
200 , 9.95e-08 , 51.2549 , 607.81 , 858.85 , -0.46989 , 1.9466
220 , 1.095e-07 , 51.2429 , 607.442 , 858.649 , -0.707956 , 1.8184
240 , 1.195e-07 , 51.2396 , 607.19 , 858.493 , -0.711628 , 1.3778
260 , 1.295e-07 , 51.2456 , 607.122 , 858.482 , -0.537702 , 0.515864
280 , 1.395e-07 , 51.2562 , 607.114 , 858.622 , -0.30986 , -0.40353
300 , 1.495e-07 , 51.2679 , 607.066 , 858.833 , -0.0694612 , -0.899913
320 , 1.595e-07 , 51.2751 , 606.885 , 859.04 , 0.137336 , -0.952686
340 , 1.695e-07 , 51.2763 , 606.578 , 859.194 , 0.236218 , -0.648828
360 , 1.79499e-07 , 51.2757 , 606.328 , 859.256 , 0.15967 , -0.11014
380 , 1.89499e-07 , 51.2798 , 606.456 , 859.255 , -0.0248322 , 0.517812
400 , 1.99499e-07 , 51.2927 , 607.15 , 859.259 , -0.207486 , 1.07913
420 , 2.09499e-07 , 51.3119 , 608.213 , 859.289 , -0.390825 , 1.59223
440 , 2.19499e-07 , 51.3334 , 609.373 , 859.324 , -0.594367 , 2.07099
460 , 2.29499e-07 , 51.3554 , 610.429 , 859.343 , -0.79204 , 2.38293
