offset,regime,choked,shock_x,throat_x,throat_area,mass_flow,exit_mach,exit_pressure,critical_back_pressure,ideal_exit_pressure
0.0,choked_internal_shock,True,84.57983679562437,75.0,53.37414053971368,369736.7537524471,0.0056189627822681425,2900001.9800653793,5899970.746705305,888.3380247887955
-5.0,choked_internal_shock,True,104.15342835277048,70.0,269.1842100599419,1864710.044650278,0.02833675519597459,2899999.3033173974,5899255.8287563315,7785.558278846328
-10.0,choked_internal_shock,True,109.06956815798497,65.0,488.50153834234396,3383979.0423488794,0.05141695510806962,2900000.488177421,5897548.394123734,17551.926706645067
-20.0,choked_internal_shock,True,124.74073105900004,64.0,999.8591792747409,6926288.337693423,0.10517334657709096,2899998.2306148265,5889713.617642878,47388.633488333704
-40.0,choked_internal_shock,True,195.5791020715332,64.0,1975.246136681776,13683051.137757955,0.20727787036962536,2899999.5188598633,5859617.2948768735,125034.26488413505
-80.0,choked_internal_shock,True,562.9670630574723,118.0,4639.544497648262,32139348.832682826,0.48019584708757845,2899998.4519707756,5668502.263104931,454263.29875256814
