offset_mm,regime,choked,shock_x_mm,throat_x_mm,throat_area_mm2,mass_flow_kg_s,exit_mach,exit_pressure,critical_back_pressure,ideal_exit_pressure
0.0,choked_internal_shock,True,138.15381713951876,118.0,1628.6873823583012,11.282347210493539,0.12416556109091209,3999996.147280581,5872614.68769383,94649.07172127844
-5.0,choked_internal_shock,True,143.3907341366792,118.0,1934.479929452295,13.400652864522755,0.14740836949956027,4000000.576590605,5861279.655438895,121307.65390286299
-10.0,choked_internal_shock,True,149.21005431440642,118.0,2224.906016893325,15.412510998249003,0.1694506889733931,3999996.9812921598,5848652.968042671,148726.3202606522
-20.0,choked_internal_shock,True,164.02318272431557,118.0,2759.6588128164913,19.116884704792565,0.2099372457864251,3999996.708503102,5820564.055236625,204427.0791009946
-40.0,choked_internal_shock,True,250.13611266485213,118.0,3644.7668888272483,25.248261874243973,0.2766027706739611,3999999.5747377765,5759745.715708234,311370.6434072866
-60.0,choked_internal_shock,True,323.94364943745416,118.0,4284.011610390573,29.67647871884778,0.32442485504023977,3999996.6134027755,5704044.607953066,400327.6061246449
-80.0,choked_internal_shock,True,364.1667022490692,118.0,4677.392977506465,32.40153523860396,0.35369722644218227,3999997.5484734187,5664518.353878197,460199.60153698956
-100.0,choked_internal_shock,True,378.3043440971451,118.0,4824.910990174925,33.423431433512526,0.3646411229924851,3999999.8934051325,5648614.074351414,483702.01171460917
