offset_mm,regime,choked,shock_x_mm,throat_x_mm,throat_area_mm2,mass_flow_kg_s,exit_mach,exit_pressure,critical_back_pressure,ideal_exit_pressure
0.0,choked_internal_shock,True,119.17250685069513,118.0,1628.6873823583012,11.282347210493539,0.08568316319914879,5799997.740939281,5872614.68769383,94649.07172127844
-10.0,choked_internal_shock,True,119.2992611340742,118.0,2224.906016893325,15.412510998249003,0.11699374552509995,5800003.216449232,5848652.968042671,148726.3202606522
-40.0,subsonic,False,,118.0,3644.7668888272483,21.40527848991833,0.16233012608424785,5800000.0,5759745.715708234,5800000.0
-80.0,subsonic,False,,118.0,4677.392977506465,21.405278489918327,0.16233012608424785,5800000.0,5664518.353878197,5800000.0
-100.0,subsonic,False,,118.0,4824.910990174925,21.40527848991832,0.16233012608424785,5800000.0,5648614.074351414,5800000.0
-120.0,subsonic,False,,118.0,4826.140306947163,21.40527848991832,0.16233012608424785,5800000.0,5648478.99848554,5800000.0
