x_mm,y_mm,zone
27.59402868,21.57219330,divergent
28.06587023,21.74505161,divergent
28.53804534,21.91697547,divergent
29.01055401,22.08796489,divergent
29.48339624,22.25801985,divergent
29.95657203,22.42714036,divergent
30.43008138,22.59532643,divergent
30.90392429,22.76257805,divergent
31.37810076,22.92889521,divergent
31.85261079,23.09427793,divergent
32.32745438,23.25872620,divergent
32.80263153,23.42224002,divergent
33.27814224,23.58481939,divergent
33.75398651,23.74646431,divergent
34.23016434,23.90717478,divergent
34.70667573,24.06695080,divergent
35.18352068,24.22579237,divergent
35.66069919,24.38369950,divergent
36.13821126,24.54067217,divergent
36.61605688,24.69671039,divergent
37.09423607,24.85181417,divergent
37.57274882,25.00598349,divergent
38.05159513,25.15921837,divergent
38.53077500,25.31151880,divergent
39.01028843,25.46288477,divergent
39.49013542,25.61331630,divergent
39.97031597,25.76281338,divergent
40.45083008,25.91137601,divergent
40.93167774,26.05900419,divergent
41.41285897,26.20569792,divergent
41.89437376,26.35145720,divergent
42.37622211,26.49628204,divergent
42.85840402,26.64017242,divergent
43.34091949,26.78312835,divergent
43.82376852,26.92514984,divergent
44.30695110,27.06623687,divergent
44.79046725,27.20638946,divergent
45.27431696,27.34560759,divergent
45.75850023,27.48389128,divergent
46.24301706,27.62124052,divergent
46.72786744,27.75765531,divergent
47.21305139,27.89313564,divergent
47.69856890,28.02768153,divergent
48.18441997,28.16129297,divergent
48.67060460,28.29396997,divergent
49.15712278,28.42571251,divergent
49.64397453,28.55652060,divergent
50.13115984,28.68639424,divergent
50.61867871,28.81533344,divergent
51.10653113,28.94333818,divergent
51.59471712,29.07040848,divergent
52.08323667,29.19654432,divergent
52.57208978,29.32174572,divergent
53.06127644,29.44601266,divergent
53.55079667,29.56934516,divergent
54.04065046,29.69174321,divergent
54.53083781,29.81320681,divergent
55.02135871,29.93373596,divergent
55.51221318,30.05333066,divergent
56.00340121,30.17199091,divergent
56.49492280,30.28971671,divergent
56.98677794,30.40650806,divergent
57.47896665,30.52236497,divergent
57.97148892,30.63728742,divergent
58.46434474,30.75127543,divergent
58.95753413,30.86432898,divergent
