# forge res_12000.h5 axis (j=0) values; Pt/P for matching with CEA
x_m,x_over_rt,Pt_over_P,P,T,rho,u,a,M,h0
-1.368614,-6.4998765,1.001537650978002,1135254.375,1057.6126708984375,3.754359483718872,30.383342742919922,630.8983764648438,0.04815885390792887,836216.7737571622
-1.3479531,-6.401753,1.0015253001300244,1135268.375,1057.61181640625,3.754408359527588,30.39813995361328,630.8981323242188,0.04818232674366465,836216.2754706412
-1.3272921,-6.303629,1.001536658487891,1135255.5,1057.6102294921875,3.7543718814849854,30.46717643737793,630.8976440429688,0.048291789841115484,836216.3762952089
-1.3066311,-6.205505,1.0015411798476614,1135250.375,1057.6055908203125,3.754370927810669,30.557231903076172,630.8963623046875,0.04843463004200799,836213.7253792204
-1.2859701,-6.107381,1.0015595965397306,1135229.5,1057.60400390625,3.754307985305786,30.7002010345459,630.8959350585938,0.04866127570103087,836216.0582689373
-1.2653092,-6.0092573,1.0015736025014674,1135213.625,1057.598388671875,3.75427508354187,30.871294021606445,630.8943481445312,0.048932589287571424,836214.6966168063
-1.2446482,-5.9111333,1.001599409787507,1135184.375,1057.5933837890625,3.7541961669921875,31.094438552856445,630.8929443359375,0.0492863945175131,836215.7597415001
-1.2239872,-5.8130093,1.0016234536694644,1135157.125,1057.5859375,3.7541325092315674,31.35142707824707,630.8908081054688,0.049693903723837286,836214.822540341
-1.2033262,-5.714885,1.0016579774085161,1135118.0,1057.5784912109375,3.7540297508239746,31.66109275817871,630.8887329101562,0.050184907586053706,836215.702422438
-1.1826653,-5.6167617,1.001693275704401,1135078.0,1057.5687255859375,3.7539315223693848,32.01097869873047,630.885986328125,0.05073972063484938,836215.34018252
-1.1620044,-5.5186377,1.0017371814313873,1135028.25,1057.5582275390625,3.7538042068481445,32.412872314453125,630.8829956054688,0.051376994688763104,836215.796570709
-1.1413435,-5.4205146,1.001785062917741,1134974.0,1057.5455322265625,3.7536704540252686,32.86088943481445,630.87939453125,0.05208743496723401,836215.2227918701
-1.1206826,-5.322391,1.0018415557180747,1134910.0,1057.531494140625,3.7535083293914795,33.363807678222656,630.87548828125,0.05288493260234065,836215.2084284448
-1.1000218,-5.224268,1.0019030209424828,1134840.375,1057.5155029296875,3.7533349990844727,33.91813659667969,630.8709716796875,0.05376398363420177,836214.9263962789
-1.0793612,-5.126146,1.0019739856886039,1134760.0,1057.4979248046875,3.753131151199341,34.53365707397461,630.8660278320312,0.05474008038227925,836215.0824377915
-1.0587007,-5.0280237,1.002052466964822,1134671.125,1057.4779052734375,3.75290846824646,35.20996856689453,630.8603515625,0.055812619194861926,836214.7389292275
-1.0380404,-4.929903,1.0021420014062599,1134569.75,1057.455810546875,3.7526519298553467,35.9535026550293,630.8541259765625,0.056991784906492066,836214.8778133445
-1.0173805,-4.8317842,1.0022404967304879,1134458.25,1057.4307861328125,3.7523715496063232,36.7659912109375,630.8471069335938,0.058280351620614915,836214.7334075163
-0.9967211,-4.733668,1.0023523764489948,1134331.625,1057.403076171875,3.752051591873169,37.654998779296875,630.8392944335938,0.05969031909007166,836214.7809469828
-0.9760625,-4.6355553,1.0024759922649764,1134191.75,1057.371826171875,3.751699447631836,38.622291564941406,630.8305053710938,0.06122451472479342,836214.47261195
-0.9554052,-4.537449,1.002614778779927,1134034.75,1057.337158203125,3.751302719116211,39.67483901977539,630.8207397460938,0.06289399907134406,836214.5726109348
-0.93474954,-4.43935,1.002769522421093,1133859.75,1057.2987060546875,3.7508606910705566,40.816646575927734,630.8098754882812,0.06470514835287483,836214.640673521
-0.9140965,-4.341264,1.0029426708442712,1133664.0,1057.2554931640625,3.7503662109375,42.05605697631836,630.7976684570312,0.06667123085472079,836214.7050743742
-0.89344704,-4.2431946,1.0031357918982888,1133445.75,1057.207275390625,3.7498152256011963,43.39892578125,630.7841186523438,0.06880155111382773,836214.7362867114
-0.8728028,-4.14515,1.0033523395946151,1133201.125,1057.1534423828125,3.749197006225586,44.85490036010742,630.7689208984375,0.07111146233428593,836214.7934061808
-0.85216576,-4.04714,1.0035945588315935,1132927.625,1057.0928955078125,3.748506546020508,46.429901123046875,630.7518310546875,0.0736104103660086,836214.6928428629
-0.8315388,-3.9491775,1.0038653672628643,1132622.0,1057.0250244140625,3.7477362155914307,48.1330451965332,630.7327270507812,0.07631290264831611,836214.4024337202
-0.8109258,-3.8512814,1.0041695779231066,1132278.875,1056.9488525390625,3.746870756149292,49.975711822509766,630.7112426757812,0.079237071485342,836214.2582201093
-0.7903318,-3.7534754,1.0045109121844766,1131894.125,1056.8634033203125,3.745900869369507,51.96852111816406,630.6871337890625,0.08239984349442156,836214.1669614518
-0.76976347,-3.6557918,1.004894774392506,1131461.75,1056.7672119140625,3.7448105812072754,54.12236785888672,630.6600341796875,0.08581861054392767,836213.9905592927
-0.74922943,-3.5582707,1.0053269285372373,1130975.375,1056.6591796875,3.7435836791992188,56.44869613647461,630.6295776367188,0.08951165333541097,836214.0780754832
-0.7287409,-3.4609654,1.0058129486474767,1130428.875,1056.5372314453125,3.742206573486328,58.959442138671875,630.59521484375,0.09349808046558195,836213.9258081319
-0.7083116,-3.3639421,1.006361118348665,1129813.125,1056.399658203125,3.740654945373535,61.66873550415039,630.556396484375,0.09780050737409104,836213.6900300609
-0.68795896,-3.2672825,1.0069791091688902,1129119.75,1056.24462890625,3.738907814025879,64.58808898925781,630.5126953125,0.10243741239380774,836213.6165196074
-0.66770387,-3.171086,1.0076763311718957,1128338.5,1056.0697021484375,3.7369401454925537,67.73152160644531,630.46337890625,0.10743133363899475,836213.3867113679
-0.64757144,-3.0754724,1.0084630628229472,1127458.25,1055.8721923828125,3.734722852706909,71.1121597290039,630.4076538085938,0.11280345233656569,836213.2541472111
-0.62759095,-2.9805803,1.0093504736490284,1126467.0,1055.6494140625,3.732226848602295,74.74180603027344,630.3448486328125,0.11857288306929897,836212.9705938906
-0.6077957,-2.8865678,1.0103506514351344,1125351.875,1055.3984375,3.729419231414795,78.63085174560547,630.2739868164062,0.124756619169355,836212.6061694948
-0.5882226,-2.7936106,1.0114765222021098,1124099.25,1055.115966796875,3.7262649536132812,82.78727722167969,630.1943359375,0.13136785353445352,836212.209488359
-0.5689114,-2.701897,1.0127407597426195,1122696.0,1054.7991943359375,3.722731113433838,87.2172622680664,630.1049194335938,0.1384170470315748,836212.0188499414
-0.54990315,-2.611622,1.014158414086366,1121126.625,1054.4444580078125,3.718778133392334,91.92446899414062,630.0048217773438,0.14591073880166042,836211.7578558768
-0.53123933,-2.5229833,1.0157423310951492,1119378.375,1054.0484619140625,3.714373826980591,96.90780639648438,629.89306640625,0.15384802844294782,836211.403235324
-0.51295936,-2.4361672,1.0175071410633374,1117436.875,1053.608154296875,3.7094810009002686,102.16522216796875,629.7687377929688,0.1622265699088333,836211.1503596285
-0.49509946,-2.3513463,1.0194659034271247,1115289.875,1053.1202392578125,3.704068899154663,107.69007873535156,629.6309814453125,0.1710368166575125,836210.8222951468
-0.47769082,-2.2686684,1.0216316117260755,1112925.625,1052.5821533203125,3.698106527328491,113.47284698486328,629.47900390625,0.18026470506673659,836210.5991667968
-0.46075833,-2.188252,1.024015966363282,1110334.25,1051.9913330078125,3.69156813621521,119.5020523071289,629.3120727539062,0.1898931507609269,836210.456124719
-0.4443199,-2.110182,1.026631818069465,1107505.125,1051.34521484375,3.684424638748169,125.76205444335938,629.1295166015625,0.1998985123487799,836210.3115364015
-0.42838633,-2.0345097,1.0294849655129328,1104435.75,1050.6422119140625,3.6766719818115234,132.23828125,628.9307861328125,0.21025887771071045,836210.3051915949
-0.41296148,-1.9612533,1.0325919203769005,1101112.625,1049.8798828125,3.668271064758301,138.91915893554688,628.7152099609375,0.22095721041038283,836209.9803554488
-0.3980423,-1.8903985,1.0359567891216337,1097536.125,1049.05712890625,3.6592235565185547,145.7862091064453,628.4824829101562,0.23196542953972188,836210.0122440236
-0.38362095,-1.821908,1.0395909753537165,1093699.375,1048.1722412109375,3.649509906768799,152.8262176513672,628.2321166992188,0.24326393635258292,836209.9166630191
-0.36968458,-1.7557209,1.043501604085442,1089600.625,1047.22412109375,3.639124870300293,160.0242156982422,627.9636840820312,0.2548303663963761,836209.7642856899
-0.35621652,-1.6917578,1.0476972947271777,1085237.125,1046.2117919921875,3.6280581951141357,167.3679962158203,627.677001953125,0.2666466920008635,836209.6435182896
-0.34319806,-1.62993,1.0521864100454652,1080607.0,1045.1341552734375,3.616304636001587,174.845703125,627.37158203125,0.2786956058144992,836209.419387718
-0.33060843,-1.5701388,1.0569775508472903,1075708.75,1043.990234375,3.6038570404052734,182.44700622558594,627.0473022460938,0.29096211015031526,836209.2936020311
-0.31842604,-1.5122818,1.0620788348331966,1070542.0,1042.779052734375,3.590712547302246,190.16282653808594,626.7037353515625,0.303433370205477,836209.2719607663
-0.3066287,-1.4562534,1.0674995103186338,1065105.875,1041.4998779296875,3.57686710357666,197.9849090576172,626.3406372070312,0.31609781849772434,836209.2547439528
-0.29519454,-1.4019498,1.0732492621411323,1059399.75,1040.151611328125,3.562316656112671,205.906005859375,625.957763671875,0.3289455260551896,836209.1758149934
-0.28410184,-1.349268,1.0793379870488935,1053423.5,1038.7333984375,3.5470569133758545,213.92044067382812,625.5547485351562,0.3419691740407367,836209.3060348104
-0.27332956,-1.2981077,1.0857762652722351,1047177.0625,1037.244140625,3.5310864448547363,222.02276611328125,625.1312255859375,0.3551618556650703,836209.367460408
-0.26285776,-1.2483747,1.0925755372265145,1040660.3125,1035.6829833984375,3.514401912689209,230.20835876464844,624.6869506835938,0.36851795689462036,836209.3353321841
-0.25266743,-1.1999784,1.0997469651015928,1033874.1875,1034.0489501953125,3.4970016479492188,238.47251892089844,624.2216186523438,0.38203181657781415,836209.3035371837
