# forge res_12000.h5 axis (j=0) values; Pt/P for matching with CEA
x_m,x_over_rt,Pt_over_P,P,T,rho,u,a,M,h0
-1.3371215,-6.4999995,1.0014348917852445,1137368.0,1160.6148681640625,3.435232639312744,30.69403839111328,657.31787109375,0.04669588298282482,967402.9676967827
-1.3167456,-6.400949,1.0014211344039703,1137383.625,1160.6141357421875,3.435281753540039,30.709863662719727,657.3176879882812,0.046719971520479193,967402.4908074446
-1.2963698,-6.301898,1.00143280063893,1137370.375,1160.6121826171875,3.4352474212646484,30.7833251953125,657.317138671875,0.046831770212946135,967402.4072992611
-1.2759941,-6.202848,1.0014366527573357,1137366.0,1160.607177734375,3.4352493286132812,30.877269744873047,657.3157958984375,0.046974787366351266,967399.1411102351
-1.2556182,-6.103797,1.0014553634682888,1137344.75,1160.60546875,3.435190200805664,31.030574798583984,657.3153686523438,0.047208046971736264,967401.8921050134
-1.2352424,-6.004746,1.0014686815179021,1137329.625,1160.599365234375,3.4351625442504883,31.212158203125,657.313720703125,0.04748441607112281,967400.1105310367
-1.2148665,-5.9056954,1.0014944380898494,1137300.375,1160.5947265625,3.4350879192352295,31.449472427368164,657.3124389648438,0.04784554583646063,967401.8403988449
-1.1944907,-5.8066444,1.0015173339327197,1137274.375,1160.5867919921875,3.435033082962036,31.72153663635254,657.310302734375,0.04825960661865891,967400.6901076259
-1.1741148,-5.7075934,1.0015514594875623,1137235.625,1160.5792236328125,3.4349379539489746,32.050411224365234,657.308349609375,0.04876008534413437,967402.0082894813
-1.1537391,-5.6085434,1.0015858075554875,1137196.625,1160.568603515625,3.434852123260498,32.42082595825195,657.3054809570312,0.04932383328227768,967400.998866231
-1.1333632,-5.5094924,1.00162940657305,1137147.125,1160.5577392578125,3.434734582901001,32.84606170654297,657.3025512695312,0.049970993788329636,967401.6419031618
-1.1129875,-5.4104424,1.0016757622167727,1137094.5,1160.5443115234375,3.434615135192871,33.32016372680664,657.2989501953125,0.05069255582548207,967400.9661095308
-1.0926118,-5.311392,1.0017315928796584,1137031.125,1160.530029296875,3.4344663619995117,33.85504913330078,657.2950439453125,0.051506624681195,967401.271347922
-1.0722362,-5.2123423,1.0017920555867057,1136962.5,1160.51318359375,3.4343090057373047,34.44584655761719,657.29052734375,0.052405816187280435,967400.9369715207
