"# NASA CEA2 frozen (nfz=1) 5-species, Pt=1137000 Pa Tt=1058 K; P in bar, u=Isp[m/s]"
Pinf/P,P,T,RHO,H,Cp,GAMMAs,a,M,AeAt,u
1.0,11.37,1058.0,3.7587,-53.273,1.1899,1.3163,631.0,0.0,nan,0.0
1.05,10.829,1045.66,3.622,-67.946,1.1874,1.3171,627.5,0.273,2.2367,171.3
1.1,10.336,1034.0,3.4964,-81.776,1.1851,1.318,624.2,0.382,1.6624,238.8
1.2,9.475,1012.48,3.2731,-107.23,1.1807,1.3195,618.0,0.532,1.2907,328.5
1.3,8.7462,993.01,3.0806,-130.18,1.1766,1.321,612.4,0.64,1.1487,392.2
1.4,8.1214,975.26,2.9126,-151.03,1.1728,1.3224,607.2,0.728,1.0776,442.2
1.5,7.58,958.97,2.7646,-170.11,1.1692,1.3237,602.4,0.802,1.0384,483.4
1.6,7.1062,943.93,2.6331,-187.66,1.1659,1.3249,598.0,0.867,1.0166,518.4
1.7,6.6882,929.98,2.5154,-203.9,1.1628,1.3261,593.8,0.924,1.0052,548.9
1.8499,6.1462,910.82,2.3601,-226.15,1.1585,1.3277,588.0,1.0,1.0,588.0
1.85,6.1459,910.81,2.3601,-226.15,1.1585,1.3277,588.0,1.0,1.0,588.0
2.0,5.685,893.42,2.2256,-246.26,1.1545,1.3292,582.7,1.066,1.0037,621.3
2.25,5.0533,867.67,2.037,-275.91,1.1484,1.3315,574.7,1.161,1.021,667.3
2.5,4.548,845.16,1.8821,-301.71,1.143,1.3336,567.7,1.242,1.046,704.9
3.0,3.79,807.32,1.6419,-344.77,1.1336,1.3373,555.6,1.374,1.1069,763.5
3.5,3.2486,776.43,1.4634,-379.67,1.1257,1.3404,545.5,1.481,1.1737,808.0
4.0,2.8425,750.47,1.3248,-408.82,1.119,1.3432,536.8,1.571,1.2423,843.3
5.0,2.274,708.67,1.1223,-455.35,1.1079,1.3478,522.6,1.716,1.3789,896.7
6.0,1.895,675.97,0.9805,-491.44,1.0992,1.3516,511.1,1.832,1.512,936.1
7.0,1.6243,649.32,0.87492,-520.64,1.092,1.3547,501.5,1.928,1.6406,966.8
8.0,1.4212,626.95,0.7928700000000001,-545.0,1.0861,1.3573,493.3,2.01,1.765,991.7
10.0,1.137,591.03,0.6728500000000001,-583.84,1.0766,1.3616,479.7,2.148,2.0022,1030.1
12.0,0.9475,563.0,0.58862,-613.92,1.0693,1.365,468.7,2.259,2.2265,1058.9
15.0,0.758,530.27,0.49997,-648.78,1.0611,1.3688,455.6,2.396,2.5434,1091.3
20.0,0.5685,490.54,0.40534000000000003,-690.75,1.0517,1.3734,438.9,2.573,3.0321,1129.1
25.0,0.4548,461.58,0.34462000000000004,-721.11,1.0452,1.3765,426.2,2.712,3.4844,1155.7
30.0,0.379,439.07,0.30190000000000006,-744.58,1.0405,1.3789,416.1,2.826,3.9093,1175.8
40.0,0.28425,405.6,0.24512,-779.3,1.0341,1.3822,400.4,3.01,4.6984,1205.0
50.0,0.2274,381.28,0.2086,-804.39,1.0298,1.3843,388.5,3.155,5.4279,1225.7
60.0,0.1895,362.43,0.18287,-823.77,1.0268,1.3859,379.0,3.276,6.1132,1241.4
80.0,0.14213,334.48,0.14862,-852.42,1.0228,1.388,364.3,3.47,7.3862,1264.2
100.0,0.1137,314.23,0.12656,-873.11,1.0202,1.3894,353.3,3.624,8.5635,1280.5
130.0,0.08746,291.92,0.10479000000000001,-895.83,1.0176,1.3907,340.7,3.81,10.202,1298.1
160.0,0.07106,275.37,0.09025999999999999,-912.67,1.0159,1.3917,331.0,3.961,11.728,1311.0
190.0,0.05984,262.36,0.079778,-925.88,1.0147,1.3923,323.2,4.088,13.168,1321.1
217.68,0.05223,252.49,0.072355,-935.88,1.0138,1.3928,317.1,4.19,14.436,1328.6
217.76,0.05221,252.46,0.072334,-935.91,1.0138,1.3928,317.1,4.19,14.44,1328.6
250.0,0.04548,242.82,0.06551,-945.68,1.0129,1.3933,311.0,4.296,15.857,1336.0
