Pinf/P,M_cea,T_cea,rho_cea,u_cea,a_cea,T_forge,rho_forge,u_forge,a_forge,M_forge,x_forge,dT,drho,du,da,dM
1.05,0.273,1045.66,3.622,171.3,627.5,1045.6584394461333,3.622022894212667,171.20770219915173,627.5201727652877,0.2728336537292066,-0.3495317093614522,-0.00014924104074776068,0.000632087594332198,-0.0538807944239883,0.0032147833127771364,-0.06093269992433228
1.1,0.382,1034.0,3.4964,238.8,624.2,1033.9915705512713,3.496392939299659,238.75274096415018,624.2052660690133,0.38249109701762785,-0.2523338682490875,-0.0008152271497863239,-0.00020194200722745137,-0.0197902160175234,0.0008436509152831562,0.1285594286983873
1.2,0.532,1012.48,3.2731,328.5,618.0,1012.4680175215505,3.2731856179737204,328.4960743817626,618.0421095975483,0.5315150782757274,-0.15945313496299338,-0.0011834780390351796,0.0026158068412440727,-0.0011950131620808158,0.006813850735976068,-0.09115070005124311
1.3,0.64,993.01,3.0806,392.2,612.4,992.9978331224875,3.0806573079088575,392.187834639172,612.4120101900808,0.6404041759037614,-0.1057356420422255,-0.0012252522645805897,0.0018602839984893649,-0.003101825810292169,0.001961167550756926,0.06315248496271963
1.4,0.728,975.26,2.9126,442.2,607.2,975.2470095652457,2.9126912658275153,442.1756131372201,607.2294805633728,0.7281922624471449,-0.06751720172835528,-0.0013319970832759154,0.003133483056894093,-0.005514894341895893,0.004855165245842841,0.026409676805614738
1.5,0.802,958.97,2.7646,483.4,602.4,958.9555095126293,2.764674707434983,483.42107014290127,602.429993096578,0.802455362614684,-0.03764779422028618,-0.0015110469952839267,0.002702287310385465,0.0043587387052790305,0.004978933694887999,0.056778380883282985
1.6,0.867,943.93,2.6331,518.4,598.0,943.9191825165038,2.6332205451845745,518.4584676059028,597.9625947606032,0.8670517229828065,-0.013065208831983921,-0.0011460048410461,0.004578070888849872,0.011278473360887276,-0.006255056755311017,0.005965741961538021
1.7,0.924,929.98,2.5154,548.9,593.8,929.9672041497832,2.5155208594282565,548.8897382333844,593.7848164366202,0.9244031786708967,0.007908322403628518,-0.0013759274626101714,0.00480477968738402,-0.0018695147778413634,-0.0025570163994181883,0.043634055291848
1.8499,1.0,910.82,2.3601,588.0,588.0,910.8099745322198,2.360316256125932,588.0094660869715,587.9959093367801,1.0000352350033286,0.03457246816984275,-0.0011007079093849903,0.009163006903611937,0.0016098787366525258,-0.0006956910237998493,0.003523500332858198
1.85,1.0,910.81,2.3601,588.0,588.0,910.7978335759659,2.360220425142911,588.0333195286349,587.9922193629494,1.000082117853059,0.03458866765409585,-0.0013357806824765284,0.0051025440833463165,0.0056665865025395945,-0.0013232375936422791,0.008211785305900499
2.0,1.066,893.42,2.2256,621.3,582.7,893.4125896979466,2.225710428337039,621.2850469117462,582.6846727228226,1.066260630518488,0.05717791443190653,-0.0008294309567058455,0.00496173333208727,-0.0024067420334339396,-0.002630389081426099,0.02444939197823773
2.25,1.161,867.67,2.037,667.3,574.7,867.660440081075,2.037034474914914,667.3315775638512,574.725647296254,1.1611313417924034,0.08866869340508705,-0.0011017920321099162,0.0016924356855074763,0.004732139045593442,0.004462727728204996,0.011312815883150059
2.5,1.242,845.16,1.8821,704.9,567.7,845.1520108872294,1.8822922775957798,704.8997474428635,567.66766436923,1.241768096545881,0.11489654836567662,-0.0009452781450369763,0.0102161200669304,-3.5828789402003736e-05,-0.005695901139690651,-0.018671775693956717
3.0,1.374,807.32,1.6419,763.5,555.6,807.322182842918,1.6419937843315813,763.5716857592369,555.5847460304226,1.3743629527735999,0.15775566927590842,0.00027038137515589256,0.005711939313068903,0.00938909747698613,-0.0027454948843486093,0.02641577682676618
3.5,1.481,776.43,1.4634,808.0,545.5,776.4384364734756,1.4634884028069373,807.9696478713023,545.4968964390652,1.4811835746878723,0.19246353720401183,0.0010865723214736889,0.006040918883232216,-0.003756451571501618,-0.0005689387598262208,0.012395319910345934
4.0,1.571,750.47,1.3248,843.3,536.8,750.4780502364022,1.32493214857948,843.2591477402674,536.8502539246455,1.5707896257516532,0.2217138116365027,0.0010726926328974429,0.009974983354466005,-0.004844332945874719,0.009361759434711736,-0.01339110428687465
